,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-04-06 12:31:37,2023-03-31 10:18:39,5122.0,154.0,3350.0,595.0,2163.0,5.0,2779.0,66924.0,2023-03-30 19:39:31,3.3.1,908947.0,30298.0,100.0,A utility-first CSS framework for rapid UI development.,4258325.0,4258325.0,261.0,44,True,1,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-04-05 18:02:58,2023-04-05 18:01:58,1437.0,50.0,9958.0,1203.0,1343.0,359.0,3793.0,99575.0,2023-04-05 18:02:59,1.3.5,,,58.0,Promise based HTTP client for the browser and node.js.,8866776.0,8866776.0,437.0,43,True,1,,,,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-04-06 16:22:02,2023-04-06 12:39:08,12883.0,208.0,3071.0,471.0,4380.0,381.0,6808.0,23224.0,2023-04-03 08:27:01,quasar-v2.11.10,,493157.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,33393.0,33393.0,647.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,493157.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-04-06 17:08:07,2023-04-06 16:46:20,4588.0,185.0,8645.0,187.0,5726.0,985.0,4136.0,19384.0,2023-03-31 11:04:29,2.3.2,,716808.0,100.0,A Vue.js 3 UI Library made by Element team.,45938.0,45938.0,471.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,716808.0,,
4,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-03-17 07:26:30,2023-03-09 01:26:52,1209.0,1.0,9433.0,777.0,957.0,85.0,1164.0,27995.0,2021-06-17 15:52:07,4.0.2,,7328013.0,51.0,Centralized State Management for Vue.js.,1151118.0,1151118.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7328013.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-04-06 16:05:15,2023-04-03 12:56:32,5234.0,57.0,1072.0,184.0,1631.0,129.0,1033.0,23478.0,2023-03-23 14:16:03,xstate@4.37.1,,5750016.0,100.0,State machines and statecharts for the modern web.,202280.0,202280.0,327.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5750016.0,,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-04-06 16:32:57,2023-04-06 16:03:43,3309.0,111.0,1619.0,466.0,3293.0,394.0,2060.0,61901.0,2023-04-03 19:32:04,tauri-v2.0.0-alpha.6,464377.0,67488.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",12213.0,12213.0,248.0,40,True,1,tauri,https://www.npmjs.com/package/tauri,1149.0,7.0,
7,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-03-23 12:19:11,2023-01-08 16:38:27,5371.0,3.0,1835.0,302.0,3665.0,148.0,3200.0,14260.0,2022-04-17 12:49:53,2.22.0,,1520865.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,156355.0,156355.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1520865.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-04-06 08:31:38,2023-04-06 08:31:35,1727.0,11.0,3845.0,605.0,1115.0,186.0,2273.0,47015.0,2022-05-08 13:50:59,0.9.4,691476.0,10476.0,17.0,Modern CSS framework based on Flexbox.,221904.0,221904.0,397.0,39,True,3,,,,,
9,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-04-06 15:53:30,2023-04-06 15:53:30,11567.0,204.0,2487.0,297.0,5595.0,506.0,4172.0,18605.0,2023-03-31 18:52:49,3.7.11,,,31.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",165063.0,165063.0,815.0,39,True,1,,,,1.0,
