,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2024-04-04 18:05:16,2024-04-01 16:09:01,28079,182.0,14531,2866,21528.0,843.0,18625.0,111705,2024-04-04 00:53:52,29.2.0,5629179.0,4173684.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",340608.0,340608.0,1443.0,https://www.npmjs.com/package/electron,3047849.0,50,True,1,44.0,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-04-04 17:56:26,2024-04-04 15:43:02,5321,98.0,3875,607,2591.0,19.0,3190.0,77798,2024-03-27 19:46:36,3.4.3,2840061.0,69269.0,100.0,A utility-first CSS framework for rapid UI development.,8776842.0,8776842.0,281.0,,,46,True,1,,['css'],
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-04-04 15:39:16,2024-04-04 09:11:29,5189,183.0,13523,196,6801.0,1277.0,5023.0,22959,2024-03-29 11:30:07,2.6.3,,928408.0,100.0,A Vue.js 3 UI Library made by Element team.,81278.0,81278.0,597.0,https://www.npmjs.com/package/element-plus,928408.0,44,True,1,,"['vue3', 'typescript']",
3,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-04-02 10:27:09,2023-08-08 11:38:57,1210,,9481,762,971.0,95.0,1165.0,28347,2021-06-17 15:52:07,4.0.2,,6707267.0,51.0,Centralized State Management for Vue.js.,1278540.0,1278540.0,335.0,https://www.npmjs.com/package/vuex,6707267.0,43,True,1,,['vue3'],
4,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-04-04 15:21:39,2024-04-04 10:52:20,6592,75.0,1199,187,2183.0,61.0,1224.0,26031,2024-03-02 22:55:57,xstate@5.9.1,,6890684.0,100.0,Actor-based state management & orchestration for complex app logic.,254181.0,254181.0,353.0,https://www.npmjs.com/package/xstate,6890684.0,43,True,1,,[],
5,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-04-04 17:59:41,2024-04-04 17:59:26,13903,329.0,3388,472,4596.0,459.0,7167.0,25124,2024-03-29 10:09:59,quasar-v2.15.2,,543015.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,46443.0,46443.0,715.0,https://www.npmjs.com/package/quasar,543015.0,43,True,1,,"['vue3', 'javascript']",
6,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-04-03 17:49:14,2024-03-30 17:11:01,1521,15.0,10521,1204,1588.0,534.0,3985.0,103832,2024-03-28 17:36:08,0.28.1,,,73.0,Promise based HTTP client for the browser and node.js.,12509194.0,12509194.0,457.0,,,42,True,1,,"['vue2', 'vue3']",
7,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-04-04 12:51:53,2024-04-04 07:41:16,9105,629.0,974,75,1173.0,324.0,3990.0,7370,2024-04-04 07:38:15,3.51.0,,746474.0,100.0,Next Generation Vue UI Component Library.,20145.0,20145.0,245.0,https://www.npmjs.com/package/primevue,746474.0,41,True,2,,"['vue3', 'typescript']",
8,Bulma,jgthms/bulma,,css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-04-01 18:37:49,2024-03-24 20:36:20,1794,38.0,3880,594,1156.0,246.0,2305.0,48488,2024-03-21 17:55:47,1.0.0,777665.0,9970.0,18.0,Modern CSS framework based on Flexbox.,246451.0,246451.0,409.0,,,40,True,3,,['css'],
9,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-03-29 18:39:47,2024-03-28 09:55:50,2340,39.0,1094,55,1162.0,28.0,814.0,3596,2024-02-21 17:12:03,4.3.0,,2608788.0,58.0,The official router for Vue.js.,2213141.0,2213141.0,224.0,https://www.npmjs.com/package/router,2608788.0,40,True,1,,['vue3'],
