,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2022-12-22 13:57:09,2022-12-22 06:55:34,4957,141.0,3175,575,2027.0,2.0,2639.0,63289,2022-11-11 17:26:11,3.2.4,557842.0,21455.0,100.0,A utility-first CSS framework for rapid UI development.,3238513.0,3238513.0,257.0,44,True,1,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2022-12-22 12:04:17,2022-12-20 21:03:27,1377,100.0,9789,1216,1255.0,288.0,3751.0,97849,2022-12-05 19:44:04,1.2.1,,,47.0,Promise based HTTP client for the browser and node.js.,7960748.0,7960748.0,430.0,43,True,1,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-20 12:05:07,2022-12-08 17:05:36,1208,6.0,9397,786,948.0,81.0,1163.0,27905,2021-06-17 15:52:07,4.0.2,,7721658.0,51.0,Centralized State Management for Vue.js.,1096308.0,1096308.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7721658.0,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2022-12-22 17:55:22,2022-12-18 11:38:33,12537,199.0,2975,471,4297.0,361.0,6702.0,22580,2022-12-18 11:42:45,quasar-v2.11.1,,493913.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,29584.0,29584.0,627.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,493913.0,
4,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2022-12-22 13:25:56,2022-12-22 13:25:56,4394,257.0,7290,182,5377.0,850.0,3824.0,18150,2022-12-16 15:48:21,2.2.27,,512363.0,100.0,A Vue.js 3 UI Library made by Element team.,36821.0,36821.0,433.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,512363.0,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2022-12-22 16:38:07,2022-12-19 16:17:30,5169,52.0,1027,187,1495.0,173.0,966.0,22108,2022-12-19 16:23:06,xstate@4.35.1,,5268990.0,100.0,State machines and statecharts for the modern web.,170746.0,170746.0,318.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5268990.0,
6,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2022-12-17 00:11:26,2022-12-02 13:28:21,1714,9.0,3837,608,1102.0,174.0,2278.0,46563,2022-05-08 13:50:59,0.9.4,666550.0,10750.0,17.0,Modern CSS framework based on Flexbox.,209684.0,209684.0,394.0,38,True,3,,,,
7,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2022-12-22 15:05:07,2022-12-20 17:47:47,11355,149.0,2456,297,5360.0,588.0,3977.0,18322,2022-12-15 18:42:45,3.7.3,,,23.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",156414.0,156414.0,789.0,38,True,1,,,,
8,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2022-12-22 10:31:39,2022-12-15 02:54:20,4609,39.0,3320,302,1274.0,153.0,4584.0,17549,2022-12-01 13:33:51,3.3.0-beta.4,,332455.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,38664.0,38664.0,217.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,332455.0,
9,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2022-12-22 17:48:17,2022-12-22 17:20:09,8646,238.0,1632,351,2098.0,389.0,1640.0,17482,2022-07-27 17:37:43,14.1.0,,,78.0,Relay is a JavaScript framework for building data-driven React applications.,6061.0,6061.0,756.0,37,True,2,,,,
