,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
13,pinia,vuejs/pinia,pinia,state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-05-16 14:03:18,2024-05-16 14:03:16,1924,59.0,961.0,67,835.0,27.0,652.0,12423.0,2023-10-13 09:39:45,pinia@2.1.7,,4753409.0,99.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",233004.0,233004.0,232.0,https://www.npmjs.com/package/pinia,4753409.0,39,True,2,,['vue3'],
14,Tauri,tauri-apps/tauri,tauri,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-05-16 17:07:11,2024-05-16 16:44:48,4567,239.0,2284.0,493,4410.0,785.0,3138.0,78008.0,2024-05-15 17:31:34,tauri-v1.6.6,85715.0,44410.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",616.0,616.0,361.0,https://www.npmjs.com/package/tauri,1553.0,38,True,3,,,
15,Appolo Client,apollographql/apollo-client,,graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-05-16 17:01:20,2024-05-15 01:02:21,12417,130.0,2598.0,287,6316.0,478.0,4566.0,19229.0,2024-05-15 01:03:34,3.10.4,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",182391.0,182391.0,879.0,,,38,True,1,,"['vue2', 'vue3']",
16,Naive UI,tusen-ai/naive-ui,naive-ui,ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-05-16 09:16:24,2024-05-08 08:00:52,8658,94.0,1589.0,90,2911.0,313.0,2474.0,15307.0,,,,136361.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,29386.0,29386.0,302.0,https://www.npmjs.com/package/naive-ui,136361.0,38,True,3,,"['vue3', 'typescript']",
17,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-05-16 08:54:25,2024-05-09 09:49:05,4743,18.0,1223.0,117,898.0,89.0,3251.0,10565.0,2024-05-06 01:41:29,4.12.7,,,100.0,Painless Vue forms.,80143.0,80143.0,372.0,,,35,True,1,,,
18,URQL,urql-graphql/urql,,graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-05-16 14:15:32,2024-05-10 10:12:14,2677,46.0,439.0,89,1476.0,20.0,917.0,8495.0,2024-05-10 10:14:17,@urql/vue@1.2.0,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,408089.0,408089.0,248.0,,,34,True,2,,"['vue2', 'vue3']",
19,Vuestic UI,epicmaxco/vuestic-ui,vuestic-ui,ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-05-16 08:00:04,2024-05-14 12:21:32,3503,99.0,317.0,33,1695.0,446.0,1983.0,3313.0,2024-05-06 18:46:00,1.9.10,,28270.0,55.0,Free and Open Source UI Library for Vue 3.,1450.0,1450.0,125.0,https://www.npmjs.com/package/vuestic-ui,28270.0,34,True,3,,"['vue3', 'typescript']",
20,Amplify UI,aws-amplify/amplify-ui,@aws-amplify/ui-vue,ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-05-16 18:03:37,2024-05-16 17:13:39,2982,123.0,244.0,57,3998.0,150.0,930.0,771.0,2024-05-16 17:28:34,@aws-amplify/ui-vue@4.2.8,,86551.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",49710.0,49710.0,119.0,https://www.npmjs.com/package/@aws-amplify/ui-vue,86551.0,34,True,3,,['vue3'],
21,Relay,facebook/relay,,graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2024-05-16 03:30:27,2024-05-16 03:20:40,9629,235.0,1750.0,334,2457.0,525.0,1683.0,18202.0,2024-01-23 16:49:06,16.2.0,,,82.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,874.0,,,32,True,2,,"['vue2', 'vue3']",
22,CoreUI,coreui/coreui,,css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2024-05-14 18:50:43,2024-05-07 09:23:40,22297,20.0,187.0,24,584.0,5.0,139.0,724.0,2024-05-07 07:44:23,5.0.1,5642.0,79.0,88.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,33346.0,33346.0,1526.0,,,32,True,3,,['bootstrap5'],
