,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2022-12-28 12:13:12,2022-12-28 12:13:11,4960.0,140.0,3187.0,578.0,2030.0,4.0,2645.0,63467.0,2022-11-11 17:26:11,3.2.4,572803.0,22030.0,100.0,A utility-first CSS framework for rapid UI development.,3290145.0,3290145.0,257.0,44,True,1,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2022-12-29 06:39:52,2022-12-29 06:39:48,1382.0,94.0,9798.0,1217.0,1261.0,292.0,3753.0,97945.0,2022-12-29 06:39:25,1.2.2,,,48.0,Promise based HTTP client for the browser and node.js.,8013945.0,8013945.0,430.0,43,True,1,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-27 15:47:51,2022-12-08 17:05:36,1208.0,6.0,9399.0,785.0,950.0,82.0,1163.0,27915.0,2021-06-17 15:52:07,4.0.2,,7114341.0,51.0,Centralized State Management for Vue.js.,1100243.0,1100243.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7114341.0,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2022-12-29 13:53:31,2022-12-28 12:37:57,4395.0,243.0,7357.0,183.0,5393.0,864.0,3825.0,18200.0,2022-12-16 15:48:21,2.2.27,,488369.0,100.0,A Vue.js 3 UI Library made by Element team.,37218.0,37218.0,433.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,488369.0,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2022-12-29 14:19:46,2022-12-29 08:57:36,12548.0,182.0,2978.0,472.0,4301.0,357.0,6711.0,22601.0,2022-12-29 09:00:08,quasar-v2.11.3,,465672.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,29806.0,29806.0,627.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,465672.0,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2022-12-29 16:31:31,2022-12-28 11:03:08,5170.0,50.0,1029.0,187.0,1499.0,173.0,968.0,22164.0,2022-12-19 16:23:06,xstate@4.35.1,,4905872.0,100.0,State machines and statecharts for the modern web.,172557.0,172557.0,319.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,4905872.0,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2022-12-29 18:00:14,2022-12-27 21:15:53,3182.0,155.0,1440.0,436.0,3052.0,268.0,1861.0,56089.0,2022-12-22 14:51:11,tauri-v2.0.0-alpha.2,192648.0,33038.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",9163.0,9163.0,226.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,930.0,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2022-12-17 00:11:26,2022-12-02 13:28:21,1714.0,8.0,3838.0,609.0,1102.0,176.0,2279.0,46596.0,2022-05-08 13:50:59,0.9.4,667807.0,10771.0,17.0,Modern CSS framework based on Flexbox.,210631.0,210631.0,394.0,38,True,3,,,,
8,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2022-12-24 16:50:19,2022-12-24 16:46:48,11357.0,127.0,2458.0,298.0,5363.0,592.0,3977.0,18332.0,2022-12-15 18:42:45,3.7.3,,,23.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",157081.0,157081.0,789.0,38,True,1,,,,
9,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2022-12-27 23:04:12,2022-12-15 02:54:20,4609.0,33.0,3320.0,302.0,1277.0,151.0,4592.0,17571.0,2022-12-01 13:33:51,3.3.0-beta.4,,321677.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,38856.0,38856.0,217.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,321677.0,
