,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,new_addition
17,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2022-11-29 12:15:22,2022-11-29 12:15:21,1462.0,6.0,3386.0,785.0,331.0,5.0,1153.0,22910.0,2022-11-21 08:27:13,6.0.1,,,25.0,Bootstrap 5 & Material Design 2.0 UI KIT.,6458.0,6458.0,117.0,32,True,1,,,,,
18,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2022-12-26 06:18:05,2022-12-23 11:04:10,2662.0,166.0,202.0,23.0,1155.0,295.0,1312.0,1976.0,2022-12-13 08:48:01,1.5.3,,6145.0,22.0,Free and Open Source UI Library for Vue 3.,709.0,709.0,84.0,32,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,6145.0,,
19,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2022-12-13 10:01:07,2022-12-02 19:19:19,22135.0,11.0,184.0,26.0,363.0,3.0,127.0,584.0,2022-12-02 19:21:04,4.2.4,3168.0,58.0,72.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,21288.0,21288.0,1527.0,32,True,3,,,,,
20,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1629.0,261.0,142.0,82.0,452.0,10131.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,126259.0,126259.0,25.0,31,True,3,,,,,
21,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2022-12-25 14:25:26,2022-12-25 14:25:26,2354.0,59.0,370.0,100.0,1156.0,27.0,769.0,7667.0,2022-12-10 14:38:05,@urql/exchange-graphcache@5.0.8,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,22039.0,22039.0,208.0,31,True,2,,,,,
22,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2022-12-18 09:03:25,2022-12-18 09:03:25,2118.0,30.0,813.0,42.0,991.0,30.0,605.0,2604.0,2022-10-24 08:04:24,4.1.6,,2006841.0,51.0,The official router for Vue.js.,,,169.0,30,True,3,router,https://www.npmjs.com/package/router,2006841.0,,
23,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/prisma-labs/graphql-request,https://github.com/prisma-labs/graphql-request,MIT,2017-05-10 20:05:07,2022-12-16 18:18:44,2022-12-09 18:39:03,260.0,12.0,263.0,31.0,193.0,132.0,93.0,5053.0,2022-08-27 13:47:06,5.0.0,,,27.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,158773.0,158773.0,74.0,29,True,3,,,,,
24,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2022-12-16 17:59:45,2022-12-16 17:55:51,508.0,49.0,718.0,167.0,453.0,11.0,752.0,18241.0,2022-12-16 16:40:49,@headlessui/react@v1.7.7,,,67.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",619.0,619.0,39.0,28,True,1,,,,,
25,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,154.0,33.0,271.0,106.0,144.0,938.0,2020-06-03 22:45:05,0.11.0,,9119.0,29.0,Semantic UI integration for Vue.,1708.0,1708.0,71.0,27,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,9119.0,,
26,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2022-12-22 13:35:00,2022-12-22 13:34:44,1339.0,59.0,135.0,15.0,238.0,34.0,195.0,883.0,2022-12-22 09:31:15,0.5.10,,7585.0,28.0,Oruga is a lightweight library of UI components without CSS framework dependency.,97.0,97.0,57.0,27,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,7585.0,-1.0,
27,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2022-12-25 23:58:46,2022-10-05 14:30:15,926.0,4.0,464.0,112.0,434.0,231.0,622.0,5752.0,2021-11-18 13:28:20,3.1.0,,,77.0,Apollo/GraphQL integration for VueJS.,62.0,62.0,123.0,23,True,1,,,,,
28,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2022-12-22 20:52:22,2022-12-14 10:31:37,707.0,25.0,79.0,99.0,777.0,5.0,200.0,1778.0,2022-11-16 10:18:12,subscription@3.0.5,,,100.0,Minimal hooks-first GraphQL client.,887.0,887.0,75.0,23,True,3,,,,,
29,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2022-12-12 17:40:39,2022-11-10 13:26:47,351.0,12.0,115.0,18.0,43.0,7.0,181.0,538.0,2022-11-10 12:50:56,4.5.0,,,77.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,2647.0,2647.0,6.0,23,True,3,,,,,
30,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,167.0,37.0,257.0,125.0,413.0,2373.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,,,64.0,21,True,2,,,,,
31,villus,logaretm/villus,"['vue2', 'vue3']",graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2022-11-13 14:17:58,2022-11-13 14:17:58,558.0,3.0,26.0,9.0,64.0,13.0,104.0,622.0,2022-10-23 05:37:30,2.0.1,,,57.0,A tiny and fast GraphQL client for Vue.js.,139.0,139.0,19.0,19,True,3,,,,,
