,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-05-01 13:39:20,2024-04-30 16:22:11,5345.0,120.0,3908.0,606.0,2614.0,22.0,3220.0,78566.0,2024-03-27 19:46:36,3.4.3,3019810.0,71900.0,100.0,A utility-first CSS framework for rapid UI development.,9136257.0,9136257.0,284.0,46,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-05-02 13:47:42,2024-05-01 09:23:32,5251.0,165.0,13939.0,198.0,6893.0,1321.0,5088.0,23185.0,2024-04-26 08:08:54,2.7.2,,974851.0,100.0,A Vue.js 3 UI Library made by Element team.,84255.0,84255.0,608.0,44,True,1,element-plus,https://www.npmjs.com/package/element-plus,974851.0,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-05-01 19:02:02,2023-08-08 11:38:57,1210.0,,9483.0,763.0,974.0,95.0,1165.0,28359.0,2021-06-17 15:52:07,4.0.2,,6670556.0,51.0,Centralized State Management for Vue.js.,1285666.0,1285666.0,335.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6670556.0,,
3,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-05-02 16:02:47,2024-04-24 19:44:40,6613.0,58.0,1205.0,189.0,2201.0,72.0,1230.0,26175.0,2024-04-24 19:45:59,xstate@5.12.0,,7005451.0,100.0,Actor-based state management & orchestration for complex app logic.,256852.0,256852.0,354.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,7005451.0,,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-04-30 15:03:15,2024-04-30 15:02:56,14130.0,508.0,3403.0,473.0,4604.0,469.0,7184.0,25245.0,2024-04-27 12:24:03,@quasar/cli-v2.4.1,,546966.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,47307.0,47307.0,719.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,546966.0,,
5,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-05-02 01:21:48,2024-04-09 08:16:13,1459.0,4.0,5023.0,511.0,973.0,64.0,2779.0,19017.0,2022-09-06 10:10:34,3.6.5,,11869629.0,90.0,The official router for Vue 2.,2240787.0,2240787.0,290.0,43,True,1,vue-router,https://www.npmjs.com/package/vue-router,11869629.0,9.0,
6,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-05-01 14:57:24,2024-04-28 19:50:08,1523.0,11.0,10551.0,1202.0,1597.0,550.0,3995.0,104057.0,2024-03-28 17:36:08,0.28.1,,,74.0,Promise based HTTP client for the browser and node.js.,12788844.0,12788844.0,457.0,42,True,1,,,,,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-05-02 11:56:13,2024-04-30 13:12:40,1808.0,43.0,3877.0,593.0,1163.0,257.0,2329.0,48606.0,2024-03-21 17:55:47,1.0.0,786828.0,9959.0,18.0,Modern CSS framework based on Flexbox.,247811.0,247811.0,413.0,41,True,3,,,,1.0,
8,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-05-02 14:10:30,2024-04-30 17:45:38,9176.0,378.0,1003.0,74.0,1196.0,375.0,4060.0,7721.0,2024-04-26 11:06:10,3.52.0,,821304.0,100.0,Next Generation Vue UI Component Library.,21478.0,21478.0,254.0,41,True,2,primevue,https://www.npmjs.com/package/primevue,821304.0,,
9,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-04-30 08:00:06,2024-04-30 08:00:03,2350.0,39.0,1108.0,55.0,1168.0,27.0,826.0,3634.0,2024-04-18 10:00:52,4.3.2,,2630113.0,60.0,The official router for Vue.js.,2240787.0,2240787.0,227.0,41,True,3,router,https://www.npmjs.com/package/router,2630113.0,1.0,
10,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-04-29 13:27:09,2023-07-28 00:24:13,5376.0,,1846.0,293.0,3676.0,163.0,3223.0,14460.0,2022-04-17 12:49:53,2.22.0,,1369018.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,175530.0,175530.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1369018.0,,
11,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-04-29 18:16:29,2024-04-22 20:01:55,1916.0,60.0,956.0,65.0,835.0,27.0,648.0,12352.0,2023-10-13 09:39:45,pinia@2.1.7,,4875873.0,99.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",227916.0,227916.0,231.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,4875873.0,,
12,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-05-02 15:00:33,2024-05-02 11:26:53,4538.0,262.0,2259.0,490.0,4353.0,762.0,3084.0,77534.0,2024-04-30 19:51:20,tauri-cli-v2.0.0-beta.15,66270.0,34664.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",612.0,612.0,357.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,1529.0,,
13,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-05-02 13:51:23,2024-04-30 11:13:48,5229.0,40.0,3663.0,301.0,1751.0,212.0,5336.0,19624.0,2024-04-25 01:44:59,4.2.1,,429476.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,53759.0,53759.0,278.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,429476.0,,
14,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-05-02 16:01:27,2024-05-02 15:59:09,12396.0,128.0,2596.0,287.0,6298.0,483.0,4555.0,19211.0,2024-04-24 18:42:31,3.10.1,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",181989.0,181989.0,875.0,38,True,1,,,,,
15,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-04-30 13:19:28,2024-04-23 17:08:39,8623.0,67.0,1584.0,89.0,2900.0,305.0,2463.0,15219.0,,,,119531.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,29130.0,29130.0,300.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,119531.0,,
16,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-04-16 00:35:39,2024-04-16 00:35:39,4736.0,14.0,1222.0,117.0,896.0,90.0,3246.0,10547.0,2024-03-10 23:15:18,4.12.6,,,100.0,Painless Vue forms.,79601.0,79601.0,371.0,35,True,1,,,,,
17,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-05-01 07:06:55,2024-04-28 12:38:30,2672.0,44.0,437.0,89.0,1469.0,20.0,916.0,8485.0,2024-05-01 06:45:52,@urql/core@5.0.3,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,398947.0,398947.0,248.0,34,True,2,,,,,
18,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-05-02 12:25:35,2024-04-30 18:18:28,3488.0,127.0,317.0,33.0,1684.0,464.0,1950.0,3302.0,2024-04-26 14:05:30,1.9.9,,26370.0,54.0,Free and Open Source UI Library for Vue 3.,1429.0,1429.0,125.0,34,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,26370.0,,
19,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-05-02 17:27:11,2024-05-02 16:35:18,2955.0,116.0,243.0,57.0,3963.0,146.0,922.0,768.0,2024-04-30 20:01:17,@aws-amplify/ui-vue@4.2.6,,82476.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",48933.0,48933.0,114.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,82476.0,,
20,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2024-04-14 12:34:37,2024-04-14 12:34:37,2139.0,52.0,4088.0,514.0,442.0,457.0,1130.0,24363.0,2024-02-15 18:10:48,6.6.1,102929.0,1169.0,87.0,Browser devtools extension for debugging Vue.js applications.,3.0,3.0,142.0,32,True,1,,,,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2024-05-02 18:03:42,2024-05-02 17:35:20,9583.0,215.0,1751.0,334.0,2448.0,525.0,1683.0,18190.0,2024-01-23 16:49:06,16.2.0,,,82.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,873.0,32,True,2,,,,,
