,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-02-21 20:55:37,2024-02-21 20:55:36,5420.0,67.0,3794.0,596.0,2471.0,6.0,3111.0,76359.0,2024-01-05 20:47:07,3.4.1,2555964.0,65537.0,100.0,A utility-first CSS framework for rapid UI development.,8200596.0,8200596.0,285.0,46,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-02-19 16:53:19,2023-08-08 11:38:57,1210.0,,9477.0,763.0,970.0,94.0,1166.0,28331.0,2021-06-17 15:52:07,4.0.2,,6597057.0,51.0,Centralized State Management for Vue.js.,1267001.0,1267001.0,335.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6597057.0,,
2,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-02-21 23:18:40,2024-02-21 14:04:24,6571.0,149.0,1186.0,190.0,2160.0,57.0,1216.0,25779.0,2024-02-21 14:05:47,xstate@5.8.0,,6998868.0,100.0,Actor-based state management & orchestration for complex app logic.,249468.0,249468.0,352.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,6998868.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-02-22 06:18:25,2024-02-22 02:58:06,5107.0,181.0,12885.0,194.0,6679.0,1239.0,4943.0,22581.0,2024-02-18 08:26:38,2.5.6,,843007.0,100.0,A Vue.js 3 UI Library made by Element team.,76854.0,76854.0,576.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,843007.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-02-22 10:11:41,2024-02-16 11:28:57,1516.0,25.0,10520.0,1204.0,1555.0,500.0,3974.0,103427.0,2024-02-12 18:38:20,0.28.0,,,71.0,Promise based HTTP client for the browser and node.js.,12060531.0,12060531.0,453.0,42,True,1,,,,,
5,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-02-22 12:37:24,2024-02-21 10:50:02,13675.0,142.0,3343.0,467.0,4564.0,455.0,7123.0,24963.0,2024-02-20 17:50:42,quasar-v2.14.5,,549315.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,45118.0,45118.0,703.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,549315.0,,
6,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-02-21 10:28:49,2024-01-09 20:09:29,1455.0,1.0,5023.0,512.0,968.0,64.0,2778.0,19013.0,2022-09-06 10:10:34,3.6.5,,11297239.0,90.0,The official router for Vue 2.,2169402.0,2169402.0,290.0,42,True,1,vue-router,https://www.npmjs.com/package/vue-router,11297239.0,,
7,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-02-22 14:19:48,2024-02-22 13:02:09,8956.0,729.0,942.0,66.0,1131.0,276.0,3875.0,6720.0,2024-02-07 15:48:59,3.48.1,,703517.0,100.0,Next Generation Vue UI Component Library.,18499.0,18499.0,229.0,41,True,2,primevue,https://www.npmjs.com/package/primevue,703517.0,,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-02-21 17:11:53,2024-02-21 17:11:43,2326.0,57.0,1080.0,55.0,1145.0,31.0,798.0,3511.0,2024-02-21 17:12:03,4.3.0,,2574610.0,58.0,The official router for Vue.js.,2169402.0,2169402.0,222.0,41,True,3,router,https://www.npmjs.com/package/router,2574610.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-01-15 04:29:42,2023-07-28 00:24:13,5376.0,,1845.0,293.0,3674.0,162.0,3218.0,14436.0,2022-04-17 12:49:53,2.22.0,,1474390.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,173007.0,173007.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1474390.0,,
10,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-02-22 17:56:23,2024-02-22 17:56:22,4356.0,205.0,2144.0,488.0,4122.0,678.0,2840.0,74883.0,2024-02-21 15:29:21,tauri-cli-v2.0.0-beta.3,199563.0,101306.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",579.0,579.0,343.0,39,True,1,tauri,https://www.npmjs.com/package/tauri,1525.0,2.0,
