,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-06-21 14:13:20,2023-06-21 14:13:19,5197.0,100.0,3456.0,591.0,2246.0,15.0,2873.0,69596.0,2023-04-25 22:21:44,3.3.2,1232729.0,38522.0,100.0,A utility-first CSS framework for rapid UI development.,5260682.0,5260682.0,267.0,44,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-05-28 16:22:06,2023-03-09 01:26:52,1209.0,,9444.0,771.0,962.0,87.0,1164.0,28072.0,2021-06-17 15:52:07,4.0.2,,7544275.0,51.0,Centralized State Management for Vue.js.,1192392.0,1192392.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7544275.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-06-22 12:46:29,2023-06-22 12:46:28,13119.0,282.0,3139.0,469.0,4438.0,393.0,6878.0,23729.0,2023-05-25 12:51:29,@quasar/icongenie-v3.1.0,,492055.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,36656.0,36656.0,664.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,492055.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-06-22 15:50:18,2023-06-22 07:55:50,4699.0,131.0,9723.0,191.0,5965.0,1082.0,4317.0,20299.0,2023-06-21 05:58:41,2.3.7,,846577.0,100.0,A Vue.js 3 UI Library made by Element team.,55029.0,55029.0,498.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,846577.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-06-21 07:26:12,2023-04-27 23:04:53,1450.0,15.0,10056.0,1200.0,1374.0,397.0,3825.0,100672.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,9675486.0,9675486.0,439.0,42,True,1,,,,,
5,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-06-22 13:59:25,2023-06-22 13:43:47,3845.0,320.0,1788.0,472.0,3570.0,435.0,2281.0,65612.0,2023-06-17 19:17:25,tauri-cli-v2.0.0-alpha.10,159593.0,41915.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",15437.0,15437.0,282.0,40,True,1,tauri,https://www.npmjs.com/package/tauri,2017.0,1.0,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-06-22 17:14:21,2023-06-21 08:00:57,5254.0,23.0,1094.0,187.0,1738.0,104.0,1076.0,24063.0,2023-06-21 08:04:43,@xstate/fsm@2.1.0,,5672916.0,100.0,State machines and statecharts for the modern web.,217379.0,217379.0,331.0,40,True,1,xstate,https://www.npmjs.com/package/xstate,5672916.0,,
7,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-06-09 14:46:58,2023-01-08 16:38:27,5371.0,,1837.0,298.0,3667.0,153.0,3204.0,14323.0,2022-04-17 12:49:53,2.22.0,,1624043.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,162404.0,162404.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1624043.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-06-21 09:21:42,2023-06-03 11:35:37,1734.0,10.0,3862.0,601.0,1125.0,194.0,2276.0,47280.0,2022-05-08 13:50:59,0.9.4,708536.0,10419.0,17.0,Modern CSS framework based on Flexbox.,229201.0,229201.0,400.0,39,True,3,,,,,
9,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-06-19 05:47:17,2023-06-14 14:02:23,1707.0,84.0,813.0,52.0,743.0,24.0,550.0,10704.0,2023-06-14 14:02:48,pinia@2.1.4,,2956725.0,95.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",114820.0,114820.0,175.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,2956725.0,,
