,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-01-16 20:26:44,2024-01-15 00:08:35,5403.0,92.0,3740.0,596.0,2444.0,4.0,3089.0,75432.0,2024-01-05 20:47:07,3.4.1,2303778.0,60625.0,100.0,A utility-first CSS framework for rapid UI development.,7755676.0,7755676.0,283.0,46,True,1.0,1.0,,,,
1,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-01-18 15:58:03,2024-01-17 15:21:00,6539.0,203.0,1165.0,189.0,2123.0,53.0,1207.0,25568.0,2024-01-11 13:47:55,xstate@5.5.1,,5414242.0,100.0,Actor-based state management & orchestration for complex app logic.,245274.0,245274.0,350.0,44,True,1.0,,xstate,https://www.npmjs.com/package/xstate,5414242.0,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-01-17 07:19:28,2023-08-08 11:38:57,1210.0,,9474.0,765.0,969.0,94.0,1166.0,28314.0,2021-06-17 15:52:07,4.0.2,,5066952.0,51.0,Centralized State Management for Vue.js.,1258447.0,1258447.0,335.0,43,True,1.0,,vuex,https://www.npmjs.com/package/vuex,5066952.0,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-01-18 11:12:46,2024-01-18 06:05:30,5059.0,156.0,12535.0,195.0,6594.0,1209.0,4861.0,22355.0,2024-01-11 08:55:50,2.5.1,,705926.0,100.0,A Vue.js 3 UI Library made by Element team.,74446.0,74446.0,568.0,43,True,1.0,,element-plus,https://www.npmjs.com/package/element-plus,705926.0,
4,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-01-09 20:09:37,2024-01-09 20:09:29,1455.0,2.0,5027.0,513.0,966.0,64.0,2777.0,19017.0,2022-09-06 10:10:34,3.6.5,,8686547.0,90.0,The official router for Vue 2.,2136070.0,2136070.0,290.0,42,True,1.0,,vue-router,https://www.npmjs.com/package/vue-router,8686547.0,
5,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-01-18 13:42:07,2024-01-18 13:42:01,13594.0,120.0,3304.0,470.0,4545.0,442.0,7083.0,24835.0,2024-01-18 13:36:17,@quasar/app-vite-v1.7.3,,402608.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,43900.0,43900.0,696.0,41,True,1.0,,quasar,https://www.npmjs.com/package/quasar,402608.0,
6,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-01-18 13:44:22,2024-01-18 13:44:20,8584.0,809.0,912.0,64.0,1102.0,244.0,3726.0,6201.0,2024-01-08 10:58:15,3.46.0,,481337.0,100.0,Next Generation Vue UI Component Library.,17307.0,17307.0,224.0,41,True,1.0,1.0,primevue,https://www.npmjs.com/package/primevue,481337.0,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-01-18 15:59:47,2024-01-10 09:56:56,2303.0,53.0,1065.0,55.0,1127.0,30.0,788.0,3450.0,2023-09-22 09:25:19,4.2.5,,1941051.0,57.0,The official router for Vue.js.,2136070.0,2136070.0,214.0,41,True,3.0,,router,https://www.npmjs.com/package/router,1941051.0,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-01-15 04:29:42,2023-07-28 00:24:13,5376.0,,1842.0,294.0,3674.0,162.0,3218.0,14437.0,2022-04-17 12:49:53,2.22.0,,1111805.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,171635.0,171635.0,356.0,40,True,2.0,,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1111805.0,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-01-12 12:45:08,2024-01-12 12:45:08,1764.0,22.0,3862.0,596.0,1146.0,213.0,2287.0,47835.0,2022-05-08 13:50:59,0.9.4,755854.0,10078.0,17.0,Modern CSS framework based on Flexbox.,242334.0,242334.0,403.0,39,True,3.0,,,,,
