,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-01-05 17:04:17,2023-01-04 10:53:07,4968.0,139.0,3201.0,576.0,2040.0,3.0,2660.0,63626.0,2022-11-11 17:26:11,3.2.4,587241.0,21749.0,100.0,A utility-first CSS framework for rapid UI development.,3342709.0,3342709.0,257.0,44,True,1,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-01-05 13:24:35,2022-12-29 06:39:48,1382.0,77.0,9800.0,1216.0,1264.0,299.0,3755.0,98019.0,2022-12-29 06:39:25,1.2.2,,,48.0,Promise based HTTP client for the browser and node.js.,8065488.0,8065488.0,430.0,43,True,1,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-27 15:47:51,2022-12-08 17:05:36,1208.0,6.0,9398.0,785.0,950.0,82.0,1163.0,27920.0,2021-06-17 15:52:07,4.0.2,,6429736.0,51.0,Centralized State Management for Vue.js.,1104028.0,1104028.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6429736.0,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-01-05 15:30:36,2023-01-04 10:03:39,4402.0,238.0,7424.0,182.0,5399.0,875.0,3829.0,18256.0,2022-12-30 11:51:06,2.2.28,,450429.0,100.0,A Vue.js 3 UI Library made by Element team.,37698.0,37698.0,435.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,450429.0,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-01-05 17:54:57,2023-01-05 17:54:22,12565.0,171.0,2981.0,472.0,4303.0,354.0,6717.0,22643.0,2023-01-03 13:55:34,@quasar/cli-v1.4.0,,436192.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,30031.0,30031.0,630.0,41,True,1,quasar,https://www.npmjs.com/package/quasar,436192.0,-1.0
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-01-05 17:54:31,2023-01-05 17:50:31,5176.0,51.0,1035.0,187.0,1513.0,173.0,970.0,22226.0,2023-01-05 17:54:32,xstate@4.35.2,,4496983.0,100.0,State machines and statecharts for the modern web.,174278.0,174278.0,320.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,4496983.0,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-01-05 17:58:29,2023-01-04 21:21:26,3198.0,161.0,1449.0,437.0,3063.0,275.0,1872.0,56437.0,2022-12-22 14:51:11,tauri-v2.0.0-alpha.2,209565.0,30840.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",9336.0,9336.0,230.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,903.0,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-01-05 14:00:27,2023-01-02 14:18:01,1716.0,7.0,3838.0,609.0,1104.0,178.0,2279.0,46610.0,2022-05-08 13:50:59,0.9.4,669129.0,10621.0,17.0,Modern CSS framework based on Flexbox.,211351.0,211351.0,394.0,38,True,3,,,,
8,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-01-05 10:50:04,2023-01-04 21:25:58,11362.0,123.0,2462.0,298.0,5375.0,594.0,3980.0,18350.0,2022-12-15 18:42:45,3.7.3,,,23.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",157728.0,157728.0,790.0,38,True,1,,,,
9,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2022-12-27 23:04:12,2022-12-15 02:54:20,4609.0,31.0,3321.0,302.0,1277.0,155.0,4596.0,17593.0,2022-12-01 13:33:51,3.3.0-beta.4,,303373.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,39048.0,39048.0,217.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,303373.0,
10,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-01-03 09:30:06,2022-12-28 21:21:55,1557.0,59.0,643.0,46.0,666.0,24.0,454.0,9541.0,2022-12-09 10:30:12,pinia@2.0.28,,1464599.0,82.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",55392.0,55392.0,146.0,37,True,2,pinia,https://www.npmjs.com/package/pinia,1464599.0,
11,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2023-01-05 13:39:40,2023-01-05 13:12:48,8656.0,206.0,1638.0,351.0,2111.0,393.0,1641.0,17508.0,2022-07-27 17:37:43,14.1.0,,,78.0,Relay is a JavaScript framework for building data-driven React applications.,6103.0,6103.0,758.0,36,True,2,,,,-1.0
12,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-01-05 09:20:43,2023-01-02 09:32:56,8095.0,199.0,1251.0,75.0,2259.0,256.0,1623.0,11293.0,,,,58893.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,5204.0,5204.0,228.0,36,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,58893.0,-1.0
13,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-01-05 15:12:25,2023-01-05 15:12:19,4808.0,116.0,611.0,50.0,774.0,236.0,2472.0,3207.0,2022-12-08 09:19:52,3.21.0,,281464.0,100.0,Next Generation Vue UI Component Library.,9019.0,9019.0,107.0,36,True,2,primevue,https://www.npmjs.com/package/primevue,281464.0,
