,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2024-06-06 17:25:26,2024-06-06 13:06:28,28205,174.0,14706.0,2858,21901.0,863.0,18836.0,112370.0,2024-06-06 04:40:23,30.1.0,6407031.0,4151817.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",349680.0,349680.0,1460.0,https://www.npmjs.com/package/electron,2870411.0,51,True,1,,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-06-05 16:56:10,2024-06-04 18:18:07,5356,85.0,3946.0,610,2634.0,26.0,3250.0,79366.0,2024-06-05 17:11:35,3.4.4,3237919.0,75300.0,100.0,A utility-first CSS framework for rapid UI development.,9667929.0,9667929.0,285.0,,,46,True,1,['css'],,
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-06-06 14:46:08,2024-06-06 14:46:07,5306,163.0,14493.0,202,7015.0,1364.0,5145.0,23491.0,2024-05-31 12:55:38,2.7.4,,1073795.0,100.0,A Vue.js 3 UI Library made by Element team.,87775.0,87775.0,614.0,https://www.npmjs.com/package/element-plus,1073795.0,44,True,1,"['vue3', 'typescript']",,
3,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-05-01 19:02:02,2023-08-08 11:38:57,1210,,9480.0,764,974.0,96.0,1165.0,28379.0,2021-06-17 15:52:07,4.0.2,,6638312.0,51.0,Centralized State Management for Vue.js.,1294233.0,1294233.0,335.0,https://www.npmjs.com/package/vuex,6638312.0,43,True,1,['vue3'],,
4,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-06-05 12:16:50,2024-06-01 19:13:31,6633,47.0,1210.0,188,2226.0,74.0,1237.0,26351.0,2024-06-01 15:58:24,xstate@5.13.1,,7067155.0,100.0,Actor-based state management & orchestration for complex app logic.,261278.0,261278.0,357.0,https://www.npmjs.com/package/xstate,7067155.0,43,True,1,[],,
5,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-06-05 17:48:22,2024-06-05 14:17:48,14237,451.0,3415.0,472,4617.0,478.0,7210.0,25389.0,2024-05-14 09:24:48,quasar-v2.16.4,,543965.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,48507.0,48507.0,721.0,https://www.npmjs.com/package/quasar,543965.0,43,True,1,"['vue3', 'javascript']",,
6,vue-router,vuejs/vue-router,vue-router,routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-05-14 12:08:44,2024-05-14 12:08:44,1461,4.0,5014.0,511,974.0,64.0,2779.0,19014.0,2022-09-06 10:10:34,3.6.5,,12068723.0,90.0,The official router for Vue 2.,2275186.0,2275186.0,291.0,https://www.npmjs.com/package/vue-router,12068723.0,43,True,1,['vue2'],,
7,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-06-05 02:02:19,2024-05-21 16:57:14,1540,24.0,10580.0,1202,1626.0,570.0,4004.0,104325.0,2024-05-21 16:57:59,1.7.2,,,79.0,Promise based HTTP client for the browser and node.js.,13148400.0,13148400.0,458.0,,,42,True,1,"['vue2', 'vue3']",,
8,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-06-06 11:56:34,2024-06-03 11:46:20,9212,211.0,1038.0,77,1228.0,447.0,4127.0,8234.0,2024-05-30 11:50:47,4.0.0-beta.4,,910774.0,100.0,Next Generation Vue UI Component Library.,22981.0,22981.0,261.0,https://www.npmjs.com/package/primevue,910774.0,42,True,2,"['vue3', 'typescript']",1.0,
9,Bulma,jgthms/bulma,,css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-05-29 17:17:02,2024-05-29 17:17:01,1815,46.0,3881.0,591,1168.0,267.0,2338.0,48728.0,2024-05-20 16:40:40,1.0.1,797255.0,9965.0,19.0,Modern CSS framework based on Flexbox.,249453.0,249453.0,416.0,,,41,True,3,['css'],,
10,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-06-04 09:22:23,2024-06-04 09:22:11,2357,24.0,1123.0,57,1175.0,27.0,839.0,3691.0,2024-04-18 10:00:52,4.3.2,,2641747.0,60.0,The official router for Vue.js.,2275186.0,2275186.0,229.0,https://www.npmjs.com/package/router,2641747.0,41,True,3,['vue3'],,
