,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-07-27 15:50:59,2023-07-27 15:50:58,5225.0,86.0,3506.0,594.0,2277.0,10.0,2929.0,70640.0,2023-07-13 16:16:05,3.3.3,1389731.0,42113.0,100.0,A utility-first CSS framework for rapid UI development.,5680856.0,5680856.0,269.0,44,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-05-28 16:22:06,2023-03-09 01:26:52,1209.0,,9427.0,769.0,962.0,89.0,1165.0,28087.0,2021-06-17 15:52:07,4.0.2,,7330663.0,51.0,Centralized State Management for Vue.js.,1205526.0,1205526.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7330663.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-07-25 13:35:33,2023-07-24 13:44:46,13225.0,303.0,3172.0,470.0,4455.0,407.0,6894.0,23935.0,2023-07-18 09:43:31,quasar-v2.12.3,,482199.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,37840.0,37840.0,666.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,482199.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-07-27 13:27:44,2023-07-26 01:41:13,4747.0,128.0,10210.0,190.0,6065.0,1134.0,4404.0,20678.0,2023-07-14 03:18:17,2.3.8,,773069.0,100.0,A Vue.js 3 UI Library made by Element team.,58669.0,58669.0,508.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,773069.0,,
4,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-07-20 08:14:03,2023-07-20 08:13:55,1453.0,4.0,5043.0,515.0,959.0,64.0,2765.0,19000.0,2022-09-06 10:10:34,3.6.5,,11066745.0,90.0,The official router for Vue 2.,1959840.0,1959840.0,289.0,43,True,1,vue-router,https://www.npmjs.com/package/vue-router,11066745.0,,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-07-27 16:26:45,2023-04-27 23:04:53,1450.0,,10101.0,1205.0,1392.0,420.0,3829.0,101044.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,10025586.0,10025586.0,439.0,41,True,1,,,,,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-07-27 16:54:05,2023-07-26 11:38:09,3869.0,238.0,1822.0,474.0,3628.0,475.0,2368.0,66951.0,2023-06-17 19:17:25,tauri-cli-v2.0.0-alpha.10,244331.0,50849.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",17257.0,17257.0,285.0,41,True,1,tauri,https://www.npmjs.com/package/tauri,1983.0,1.0,
7,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-07-27 15:17:09,2023-07-27 08:45:10,5262.0,25.0,1111.0,189.0,1767.0,109.0,1086.0,24467.0,2023-07-27 08:50:15,xstate@4.38.2,,5581945.0,100.0,State machines and statecharts for the modern web.,223148.0,223148.0,333.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5581945.0,,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-06-09 14:46:58,2023-01-08 16:38:27,5371.0,,1842.0,295.0,3667.0,157.0,3209.0,14351.0,2022-04-17 12:49:53,2.22.0,,1598112.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,164089.0,164089.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1598112.0,,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-07-26 14:44:16,2023-07-18 15:07:27,1739.0,10.0,3868.0,600.0,1128.0,196.0,2278.0,47370.0,2022-05-08 13:50:59,0.9.4,715297.0,10366.0,17.0,Modern CSS framework based on Flexbox.,231797.0,231797.0,401.0,39,True,3,,,,,
