,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-11-23 11:56:33,2023-11-23 05:44:05,5353.0,95.0,3682.0,600.0,2393.0,8.0,3043.0,73755.0,2023-10-25 13:49:48,3.3.5,2000834.0,55578.0,100.0,A utility-first CSS framework for rapid UI development.,7106566.0,7106566.0,280.0,45,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-11-20 23:49:44,2023-08-08 11:38:57,1210.0,,9460.0,768.0,968.0,91.0,1166.0,28274.0,2021-06-17 15:52:07,4.0.2,,6553267.0,51.0,Centralized State Management for Vue.js.,1243650.0,1243650.0,335.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6553267.0,,
2,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-11-23 17:47:59,2023-11-23 16:40:12,6416.0,177.0,1135.0,189.0,2002.0,70.0,1163.0,25134.0,2023-10-23 19:31:14,xstate@4.38.3,,5539596.0,100.0,State machines and statecharts for the modern web.,238831.0,238831.0,343.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,5539596.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-11-21 15:35:52,2023-11-20 12:17:40,13533.0,223.0,3282.0,470.0,4523.0,424.0,7041.0,24547.0,2023-11-13 12:27:17,quasar-v2.14.0,,494512.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,42068.0,42068.0,690.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,494512.0,,
4,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-11-23 15:47:11,2023-11-19 05:31:30,4925.0,118.0,11787.0,196.0,6375.0,1235.0,4651.0,21846.0,2023-11-03 09:21:04,2.4.2,,829242.0,100.0,A Vue.js 3 UI Library made by Element team.,69355.0,69355.0,550.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,829242.0,7.0,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-11-22 08:46:11,2023-11-14 20:35:24,1491.0,39.0,10443.0,1212.0,1503.0,446.0,3944.0,102563.0,2023-11-14 20:36:05,1.6.2,,,65.0,Promise based HTTP client for the browser and node.js.,11177466.0,11177466.0,450.0,42,True,1,,,,,
6,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-11-17 14:31:17,2023-10-31 08:46:09,1454.0,1.0,5036.0,513.0,965.0,64.0,2776.0,19010.0,2022-09-06 10:10:34,3.6.5,,10874949.0,90.0,The official router for Vue 2.,2082780.0,2082780.0,290.0,42,True,1,vue-router,https://www.npmjs.com/package/vue-router,10874949.0,,
7,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-11-23 15:56:12,2023-11-23 14:01:49,8211.0,1059.0,858.0,59.0,1061.0,295.0,3483.0,5264.0,2023-11-22 17:34:45,3.41.1,,530929.0,100.0,Next Generation Vue UI Component Library.,15782.0,15782.0,206.0,41,True,2,primevue,https://www.npmjs.com/package/primevue,530929.0,,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-10-29 02:32:36,2023-07-28 00:24:13,5376.0,,1842.0,293.0,3672.0,160.0,3216.0,14410.0,2022-04-17 12:49:53,2.22.0,,1391400.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,169438.0,169438.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1391400.0,,
9,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-11-23 15:29:14,2023-11-23 15:29:14,1829.0,78.0,890.0,60.0,800.0,22.0,615.0,11592.0,2023-10-13 09:39:45,pinia@2.1.7,,3557149.0,98.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",170599.0,170599.0,212.0,40,True,2,pinia,https://www.npmjs.com/package/pinia,3557149.0,,
10,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-11-23 08:43:03,2023-11-23 08:30:43,2269.0,30.0,1040.0,52.0,1099.0,30.0,771.0,3355.0,2023-09-22 09:25:19,4.2.5,,2400240.0,57.0,The official router for Vue.js.,2082780.0,2082780.0,202.0,40,True,3,router,https://www.npmjs.com/package/router,2400240.0,,
