,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-10-04 00:36:36,2023-10-04 00:36:35,5293.0,86.0,3622.0,600.0,2339.0,2.0,3000.0,72421.0,2023-07-13 16:16:05,3.3.3,1738396.0,48288.0,100.0,A utility-first CSS framework for rapid UI development.,6498614.0,6498614.0,274.0,44,True,1,,,,,
1,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-10-04 11:02:08,2023-10-04 10:39:20,6307.0,106.0,1127.0,188.0,1894.0,84.0,1128.0,24837.0,2023-07-27 08:50:15,xstate@4.38.2,,5852865.0,100.0,State machines and statecharts for the modern web.,232328.0,232328.0,338.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,5852865.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-10-01 19:22:44,2023-09-30 07:14:18,13455.0,251.0,3240.0,471.0,4503.0,426.0,6968.0,24340.0,2023-09-27 14:23:53,@quasar/extras-v1.16.7,,502878.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,40180.0,40180.0,681.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,502878.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-10-05 07:20:26,2023-10-04 08:18:59,4865.0,145.0,11131.0,195.0,6268.0,1183.0,4558.0,21445.0,2023-09-14 11:05:06,2.3.14,,693624.0,100.0,A Vue.js 3 UI Library made by Element team.,64968.0,64968.0,543.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,693624.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-10-05 08:16:54,2023-09-30 17:49:59,1470.0,20.0,10319.0,1211.0,1453.0,400.0,3928.0,102040.0,2023-09-26 18:22:08,1.5.1,,,62.0,Promise based HTTP client for the browser and node.js.,10677249.0,10677249.0,446.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-09-05 11:29:07,2023-08-08 11:38:57,1210.0,1.0,9443.0,771.0,967.0,91.0,1166.0,28259.0,2021-06-17 15:52:07,4.0.2,,6896433.0,51.0,Centralized State Management for Vue.js.,1227990.0,1227990.0,335.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6896433.0,,
6,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-10-04 23:31:45,2023-07-20 08:13:55,1453.0,2.0,5044.0,514.0,960.0,64.0,2770.0,19006.0,2022-09-06 10:10:34,3.6.5,,11038840.0,90.0,The official router for Vue 2.,2029497.0,2029497.0,290.0,42,True,1,vue-router,https://www.npmjs.com/package/vue-router,11038840.0,,
7,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-09-29 15:48:17,2023-07-28 00:24:13,5376.0,4.0,1845.0,294.0,3672.0,157.0,3215.0,14386.0,2022-04-17 12:49:53,2.22.0,,1455076.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,167192.0,167192.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1455076.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-10-04 19:07:23,2023-10-04 19:07:23,1764.0,46.0,855.0,60.0,781.0,26.0,592.0,11390.0,2023-07-26 14:39:43,pinia@2.1.6,,3309587.0,97.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",152093.0,152093.0,196.0,40,True,2,pinia,https://www.npmjs.com/package/pinia,3309587.0,,
9,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-09-26 17:20:06,2023-09-26 17:20:06,2249.0,30.0,1012.0,53.0,1085.0,29.0,752.0,3288.0,2023-09-22 09:25:19,4.2.5,,2711922.0,57.0,The official router for Vue.js.,2029497.0,2029497.0,196.0,40,True,3,router,https://www.npmjs.com/package/router,2711922.0,,
10,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-10-05 03:39:19,2023-09-15 06:25:48,5100.0,90.0,3555.0,307.0,1605.0,162.0,5018.0,18751.0,2023-08-22 06:58:20,4.0.1,,345302.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,47936.0,47936.0,254.0,39,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,345302.0,,
11,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-10-05 13:41:32,2023-10-05 13:34:21,7477.0,837.0,798.0,58.0,980.0,474.0,3075.0,4523.0,2023-09-26 13:51:48,3.35.0,,485485.0,100.0,Next Generation Vue UI Component Library.,14376.0,14376.0,176.0,39,True,2,primevue,https://www.npmjs.com/package/primevue,485485.0,-1.0,
12,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-10-05 15:55:53,2023-10-03 14:46:20,3930.0,81.0,1902.0,480.0,3775.0,543.0,2520.0,68960.0,2023-10-02 16:54:37,tauri-cli-v1.5.1,404290.0,68537.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",521.0,521.0,292.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,1156.0,,
13,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-10-03 18:49:34,2023-10-02 14:30:55,1742.0,7.0,3868.0,597.0,1135.0,208.0,2282.0,47567.0,2022-05-08 13:50:59,0.9.4,729777.0,10135.0,17.0,Modern CSS framework based on Flexbox.,236168.0,236168.0,401.0,38,True,3,,,,,
14,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-10-05 08:05:57,2023-10-04 16:53:22,12017.0,139.0,2542.0,293.0,5955.0,469.0,4361.0,18951.0,2023-09-19 15:26:14,3.8.4,,,71.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",174892.0,174892.0,842.0,38,True,1,,,,,
15,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-10-05 10:01:17,2023-10-02 14:38:17,8275.0,16.0,1478.0,87.0,2661.0,559.0,1856.0,13758.0,,,,92103.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,23096.0,23096.0,261.0,37,True,3,naive-ui,https://www.npmjs.com/package/naive-ui,92103.0,,
16,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2023-09-29 21:42:48,2023-09-29 21:42:33,4657.0,85.0,1185.0,115.0,864.0,45.0,3139.0,10180.0,2023-09-23 21:41:53,4.11.7,,,100.0,Painless Vue forms.,70726.0,70726.0,361.0,35,True,1,,,,,
17,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2023-10-05 06:32:19,2023-10-04 22:53:25,3215.0,150.0,275.0,29.0,1551.0,417.0,1828.0,3077.0,2023-09-12 10:57:26,1.8.0,,23298.0,39.0,Free and Open Source UI Library for Vue 3.,1136.0,1136.0,106.0,34,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,23298.0,,
18,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2023-10-05 16:59:59,2023-10-04 06:32:15,2447.0,154.0,217.0,58.0,3422.0,128.0,810.0,703.0,2023-10-03 18:34:58,@aws-amplify/ui-vue@3.1.29,,208381.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",43356.0,43356.0,104.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,208381.0,,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2023-10-02 17:48:21,2023-09-26 16:03:32,2587.0,44.0,414.0,89.0,1382.0,18.0,877.0,8180.0,2023-09-18 19:44:55,@urql/core@4.1.3,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,264636.0,264636.0,235.0,33,True,2,,,,,
20,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2023-10-03 09:38:43,2023-09-25 13:41:36,22180.0,36.0,185.0,23.0,501.0,3.0,135.0,668.0,2023-09-25 13:42:10,4.3.2,3871.0,60.0,78.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,27593.0,27593.0,1527.0,32,True,3,,,,,
21,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2023-09-25 07:45:52,2023-09-25 07:45:28,1469.0,2.0,3437.0,786.0,338.0,4.0,1167.0,23718.0,2023-09-25 07:54:54,6.4.2,,,32.0,Bootstrap 5 & Material Design UI KIT.,10167.0,10167.0,119.0,31,True,1,,,,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1608.0,260.0,142.0,83.0,453.0,10127.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,129547.0,129547.0,26.0,30,True,3,,,,,
