,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,new_addition,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-08-23 14:02:20,2023-08-23 14:02:19,5256.0,90.0,3552.0,600.0,2304.0,5.0,2959.0,71369.0,2023-07-13 16:16:05,3.3.3,1515665.0,44578.0,100.0,A utility-first CSS framework for rapid UI development.,5993599.0,5993599.0,273.0,44,True,1,,,,,,
1,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-08-22 16:17:04,2023-08-22 06:05:20,13300.0,208.0,3195.0,471.0,4484.0,420.0,6919.0,24095.0,2023-08-18 14:10:53,quasar-v2.12.5,,482865.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,38854.0,38854.0,676.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,482865.0,,,
2,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-08-23 16:31:31,2023-08-23 13:00:31,4798.0,140.0,10567.0,192.0,6153.0,1166.0,4471.0,21041.0,2023-08-04 08:53:00,2.3.9,,761679.0,100.0,A Vue.js 3 UI Library made by Element team.,61240.0,61240.0,524.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,761679.0,,,
3,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-08-09 02:12:02,2023-08-08 11:38:57,1210.0,1.0,9427.0,770.0,964.0,90.0,1166.0,28164.0,2021-06-17 15:52:07,4.0.2,,7051392.0,51.0,Centralized State Management for Vue.js.,1214732.0,1214732.0,335.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7051392.0,,,
4,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-08-23 17:26:17,2023-08-22 16:10:14,6232.0,77.0,1118.0,191.0,1799.0,109.0,1088.0,24631.0,2023-07-27 08:50:15,xstate@4.38.2,,6019509.0,100.0,State machines and statecharts for the modern web.,227175.0,227175.0,335.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,6019509.0,1.0,,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-08-21 16:54:23,2023-08-03 06:21:30,1451.0,1.0,10130.0,1212.0,1398.0,430.0,3836.0,101385.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,10278239.0,10278239.0,440.0,40,True,1,,,,,,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-08-10 09:00:21,2023-07-28 00:24:13,5376.0,4.0,1848.0,295.0,3671.0,156.0,3210.0,14373.0,2022-04-17 12:49:53,2.22.0,,1547067.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,165281.0,165281.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1547067.0,,,
7,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-08-23 02:20:02,2023-08-22 06:53:50,5067.0,80.0,3527.0,305.0,1552.0,176.0,4945.0,18557.0,2023-08-22 06:58:20,4.0.1,,397837.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,46813.0,46813.0,253.0,39,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,397837.0,,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-08-22 01:47:27,2023-08-21 15:48:59,1750.0,49.0,839.0,54.0,765.0,26.0,579.0,11098.0,2023-07-26 14:39:43,pinia@2.1.6,,3220144.0,97.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",137814.0,137814.0,189.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,3220144.0,,,
9,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-08-23 13:30:17,2023-08-23 13:30:15,7146.0,878.0,772.0,57.0,932.0,403.0,2956.0,4228.0,2023-08-23 13:29:01,3.32.2,,420754.0,100.0,Next Generation Vue UI Component Library.,13512.0,13512.0,162.0,39,True,2,primevue,https://www.npmjs.com/package/primevue,420754.0,,,
