,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2022-12-15 17:46:15,2022-12-14 14:48:49,4952,147.0,3168,573,2019.0,3.0,2631.0,63126,2022-11-11 17:26:11,3.2.4,520498.0,20019.0,100.0,A utility-first CSS framework for rapid UI development.,3181777.0,3181777.0,257.0,44,True,1,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2022-12-15 17:51:50,2022-12-15 17:50:44,1371,94.0,9778,1216,1248.0,279.0,3744.0,97770,2022-12-05 19:44:04,1.2.1,,,47.0,Promise based HTTP client for the browser and node.js.,7903764.0,7903764.0,430.0,43,True,1,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-09 12:11:30,2022-12-08 17:05:36,1208,6.0,9396,787,947.0,81.0,1163.0,27907,2021-06-17 15:52:07,4.0.2,,7919575.0,51.0,Centralized State Management for Vue.js.,1092070.0,1092070.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7919575.0,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2022-12-15 17:59:41,2022-12-15 11:26:47,12508,211.0,2966,471,4291.0,365.0,6689.0,22551,2022-12-10 18:17:16,@quasar/extras-v1.15.8,,505160.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,29376.0,29376.0,624.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,505160.0,6.0
4,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2022-12-15 17:30:31,2022-12-15 15:55:40,4385,276.0,7211,181,5353.0,846.0,3809.0,18090,2022-12-02 08:02:21,2.2.26,,511676.0,100.0,A Vue.js 3 UI Library made by Element team.,36334.0,36334.0,431.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,511676.0,6.0
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2022-12-15 07:27:44,2022-12-05 04:30:59,5167,61.0,1022,188,1482.0,174.0,965.0,22032,2022-12-05 04:34:29,xstate@4.35.0,,5393722.0,100.0,State machines and statecharts for the modern web.,168815.0,168815.0,318.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5393722.0,
6,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2022-12-14 17:15:54,2022-12-02 13:28:21,1714,9.0,3834,607,1102.0,172.0,2278.0,46518,2022-05-08 13:50:59,0.9.4,665089.0,10727.0,17.0,Modern CSS framework based on Flexbox.,208587.0,208587.0,394.0,38,True,3,,,,
7,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2022-12-15 17:55:38,2022-12-14 14:53:52,11344,171.0,2450,296,5349.0,590.0,3971.0,18309,2022-12-06 17:22:26,3.7.2,,,22.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",155714.0,155714.0,787.0,38,True,1,,,,
8,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2022-12-15 02:54:20,2022-12-15 02:54:20,4609,39.0,3316,302,1271.0,156.0,4576.0,17522,2022-12-01 13:33:51,3.3.0-beta.4,,339941.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,38466.0,38466.0,217.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,339941.0,5.0
9,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2022-12-15 12:04:52,2022-12-15 11:32:40,8639,254.0,1629,351,2094.0,391.0,1638.0,17472,2022-07-27 17:37:43,14.1.0,,,78.0,Relay is a JavaScript framework for building data-driven React applications.,6036.0,6036.0,752.0,37,True,2,,,,
10,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2022-12-13 10:26:21,2022-12-12 10:41:22,1554,59.0,625,44,660.0,25.0,445.0,9423,2022-12-09 10:30:12,pinia@2.0.28,,1714770.0,82.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",51599.0,51599.0,145.0,37,True,2,pinia,https://www.npmjs.com/package/pinia,1714770.0,
11,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2022-12-14 11:39:17,2022-12-12 11:47:28,5377,648.0,596,49,732.0,209.0,2448.0,3160,2022-12-08 09:19:52,3.21.0,,338600.0,100.0,Next Generation Vue UI Component Library.,8763.0,8763.0,115.0,37,True,2,primevue,https://www.npmjs.com/package/primevue,338600.0,5.0
12,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2022-12-15 09:14:49,2022-12-14 03:23:58,8017,172.0,1217,73,2220.0,254.0,1577.0,11101,,,,76333.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,4987.0,4987.0,219.0,36,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,76333.0,5.0
13,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2022-12-07 14:12:05,2022-12-05 23:55:16,2061,54.0,3902,516,404.0,415.0,1089.0,23176,2022-10-18 13:19:33,6.4.5,97217.0,1369.0,83.0,Browser devtools extension for debugging Vue.js applications.,2237.0,2237.0,125.0,35,True,1,,,,
