,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,new_addition
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-09-05 23:47:03,2023-09-05 23:47:03,5262.0,72.0,3574.0,602.0,2312.0,2.0,2972.0,71745.0,2023-07-13 16:16:05,3.3.3,1597905.0,45654.0,100.0,A utility-first CSS framework for rapid UI development.,6165490.0,6165490.0,273.0,44,True,1,,,,,,
1,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-09-07 15:25:35,2023-09-07 14:46:59,6260.0,92.0,1121.0,187.0,1840.0,105.0,1097.0,24721.0,2023-07-27 08:50:15,xstate@4.38.2,,5634897.0,100.0,State machines and statecharts for the modern web.,229056.0,229056.0,335.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,5634897.0,1.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-09-07 13:02:11,2023-09-07 13:01:55,13397.0,294.0,3207.0,470.0,4491.0,427.0,6929.0,24201.0,2023-09-07 11:35:16,@quasar/app-webpack-v3.10.1,,492412.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,39303.0,39303.0,676.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,492412.0,,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-09-07 11:34:21,2023-09-07 05:51:25,4827.0,142.0,10794.0,195.0,6204.0,1172.0,4509.0,21215.0,2023-08-26 09:16:16,2.3.12,,772427.0,100.0,A Vue.js 3 UI Library made by Element team.,62663.0,62663.0,534.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,772427.0,,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-09-07 14:59:18,2023-09-07 14:59:17,1463.0,13.0,10145.0,1216.0,1408.0,383.0,3905.0,101548.0,2023-08-26 19:10:46,1.5.0,,,61.0,Promise based HTTP client for the browser and node.js.,10416421.0,10416421.0,444.0,42,True,1,,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-09-05 11:29:07,2023-08-08 11:38:57,1210.0,1.0,9438.0,770.0,967.0,90.0,1166.0,28239.0,2021-06-17 15:52:07,4.0.2,,6839316.0,51.0,Centralized State Management for Vue.js.,1219677.0,1219677.0,335.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6839316.0,,,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-08-10 09:00:21,2023-07-28 00:24:13,5376.0,4.0,1847.0,294.0,3671.0,156.0,3210.0,14372.0,2022-04-17 12:49:53,2.22.0,,1426966.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,165937.0,165937.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1426966.0,,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-09-07 16:27:10,2023-09-07 16:27:07,2244.0,37.0,1002.0,52.0,1081.0,29.0,744.0,3241.0,2023-07-06 16:34:15,4.2.4,,2888536.0,56.0,The official router for Vue.js.,2002659.0,2002659.0,194.0,40,True,1,router,https://www.npmjs.com/package/router,2888536.0,,,
8,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-09-07 02:48:21,2023-09-02 13:06:07,5088.0,95.0,3544.0,305.0,1578.0,164.0,4982.0,18631.0,2023-08-22 06:58:20,4.0.1,,372458.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,47250.0,47250.0,253.0,39,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,372458.0,,,
9,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-09-07 16:26:29,2023-09-07 16:26:25,1757.0,52.0,843.0,57.0,772.0,26.0,585.0,11244.0,2023-07-26 14:39:43,pinia@2.1.6,,3162710.0,97.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",142962.0,142962.0,192.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,3162710.0,,,
