,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-02-08 16:57:15,2023-02-08 16:57:15,5030.0,120.0,3254.0,584.0,2080.0,2.0,2713.0,64943.0,2023-02-08 16:49:28,3.2.6,687781.0,24563.0,100.0,A utility-first CSS framework for rapid UI development.,3692420.0,3692420.0,259.0,44,True,1,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-02-07 11:20:46,2023-02-03 18:09:55,1424.0,82.0,9874.0,1207.0,1317.0,320.0,3777.0,98701.0,2023-02-03 18:10:44,1.3.2,,,55.0,Promise based HTTP client for the browser and node.js.,8399292.0,8399292.0,434.0,43,True,1,,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-02-05 17:38:32,2022-12-08 17:05:36,1208.0,1.0,9425.0,781.0,953.0,83.0,1163.0,27950.0,2021-06-17 15:52:07,4.0.2,,7511405.0,51.0,Centralized State Management for Vue.js.,1125967.0,1125967.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7511405.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-02-09 12:41:40,2023-02-07 13:25:28,12628.0,148.0,3010.0,474.0,4339.0,363.0,6758.0,22821.0,2023-01-19 14:29:41,@quasar/extras-1.15.10,,511834.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,31437.0,31437.0,632.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,511834.0,,
4,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-02-09 17:17:12,2023-02-09 11:04:05,4440.0,156.0,7767.0,183.0,5470.0,929.0,3894.0,18623.0,2023-02-03 07:07:10,2.2.29,,459991.0,100.0,A Vue.js 3 UI Library made by Element team.,40152.0,40152.0,447.0,42,True,1,element-plus,https://www.npmjs.com/package/element-plus,459991.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-02-09 17:26:52,2023-02-09 17:23:10,5202.0,48.0,1048.0,185.0,1561.0,129.0,1017.0,22706.0,2023-02-02 22:21:03,@xstate/react@3.1.2,,5696250.0,100.0,State machines and statecharts for the modern web.,186791.0,186791.0,323.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5696250.0,1.0,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-01-31 11:00:33,2023-01-08 16:38:27,5371.0,18.0,1831.0,302.0,3658.0,136.0,3197.0,14207.0,2022-04-17 12:49:53,2.22.0,,1580007.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,153412.0,153412.0,355.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1580007.0,,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-02-04 04:45:47,2023-02-03 13:09:18,1720.0,10.0,3837.0,606.0,1109.0,181.0,2270.0,46764.0,2022-05-08 13:50:59,0.9.4,677749.0,10589.0,17.0,Modern CSS framework based on Flexbox.,217184.0,217184.0,395.0,39,True,3,,,,1.0,
8,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-02-09 17:55:01,2023-02-08 12:15:49,3262.0,163.0,1514.0,449.0,3151.0,322.0,1937.0,58615.0,2023-02-02 21:26:43,cli.rs-v2.0.0-alpha.2,291259.0,42614.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",10336.0,10336.0,236.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,1006.0,,
9,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-02-09 17:04:16,2023-02-06 21:16:52,11437.0,144.0,2476.0,298.0,5459.0,561.0,4057.0,18456.0,2023-02-03 18:24:59,3.7.7,,,27.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",161591.0,161591.0,800.0,38,True,1,,,,,
