,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-02-23 17:26:28,2023-02-23 16:49:54,5052.0,125.0,3289.0,588.0,2103.0,3.0,2738.0,65413.0,2023-02-16 19:27:34,3.2.7,736825.0,26315.0,100.0,A utility-first CSS framework for rapid UI development.,3815251.0,3815251.0,260.0,44,True,1,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-02-23 14:20:07,2023-02-22 21:05:31,1434.0,78.0,9905.0,1207.0,1328.0,326.0,3783.0,98912.0,2023-02-22 21:06:16,1.3.4,,,57.0,Promise based HTTP client for the browser and node.js.,8507637.0,8507637.0,437.0,43,True,1,,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-02-10 09:16:09,2022-12-08 17:05:36,1208.0,1.0,9420.0,781.0,954.0,84.0,1164.0,27955.0,2021-06-17 15:52:07,4.0.2,,7701207.0,51.0,Centralized State Management for Vue.js.,1132051.0,1132051.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7701207.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-02-22 13:02:02,2023-02-17 16:13:31,12649.0,152.0,3027.0,475.0,4350.0,364.0,6770.0,22889.0,2023-02-14 10:59:01,quasar-v2.11.6,,532444.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,31841.0,31841.0,638.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,532444.0,,
4,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-02-23 17:00:00,2023-02-22 12:27:48,4479.0,152.0,7966.0,181.0,5543.0,930.0,3954.0,18806.0,2023-02-19 12:41:21,2.2.32,,621051.0,100.0,A Vue.js 3 UI Library made by Element team.,41490.0,41490.0,457.0,42,True,1,element-plus,https://www.npmjs.com/package/element-plus,621051.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-02-21 20:12:24,2023-02-18 22:36:46,5215.0,56.0,1060.0,187.0,1573.0,124.0,1028.0,22881.0,2023-02-14 15:39:32,@xstate/immer@0.3.2,,6166106.0,100.0,State machines and statecharts for the modern web.,191628.0,191628.0,323.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,6166106.0,,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-02-21 11:56:32,2023-01-08 16:38:27,5371.0,17.0,1833.0,302.0,3661.0,139.0,3197.0,14218.0,2022-04-17 12:49:53,2.22.0,,1605392.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,154120.0,154120.0,355.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1605392.0,,
7,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-02-23 17:42:28,2023-02-22 13:10:54,3273.0,158.0,1532.0,452.0,3202.0,338.0,1963.0,59382.0,2023-02-02 21:26:43,cli.rs-v2.0.0-alpha.2,332881.0,48530.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",10735.0,10735.0,236.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,976.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-02-16 07:43:18,2023-02-16 07:43:17,1721.0,9.0,3840.0,607.0,1112.0,183.0,2270.0,46819.0,2022-05-08 13:50:59,0.9.4,681280.0,10645.0,17.0,Modern CSS framework based on Flexbox.,218362.0,218362.0,396.0,38,True,3,,,,-1.0,
9,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-02-23 11:01:00,2023-02-22 20:33:31,11494.0,179.0,2478.0,297.0,5500.0,528.0,4106.0,18490.0,2023-02-17 14:58:35,3.7.9,,,29.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",162509.0,162509.0,805.0,38,True,1,,,,,
