,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-01-12 17:13:15,2023-01-12 10:58:43,4973.0,130.0,3217.0,574.0,2044.0,1.0,2672.0,63988.0,2022-11-11 17:26:11,3.2.4,605353.0,22420.0,100.0,A utility-first CSS framework for rapid UI development.,3409537.0,3409537.0,257.0,44,True,1,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-01-11 22:32:21,2023-01-10 19:14:49,1396.0,81.0,9810.0,1216.0,1284.0,306.0,3757.0,98166.0,2022-12-29 06:39:25,1.2.2,,,48.0,Promise based HTTP client for the browser and node.js.,8131122.0,8131122.0,430.0,43,True,1,,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-01-09 10:46:52,2022-12-08 17:05:36,1208.0,5.0,9404.0,783.0,951.0,82.0,1163.0,27931.0,2021-06-17 15:52:07,4.0.2,,6289627.0,51.0,Centralized State Management for Vue.js.,1108451.0,1108451.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6289627.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-01-12 15:14:06,2023-01-12 11:07:14,4408.0,228.0,7487.0,180.0,5415.0,901.0,3838.0,18330.0,2022-12-30 11:51:06,2.2.28,,443359.0,100.0,A Vue.js 3 UI Library made by Element team.,38240.0,38240.0,437.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,443359.0,,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-01-12 14:35:22,2023-01-11 14:19:46,12583.0,159.0,2987.0,471.0,4307.0,350.0,6728.0,22681.0,2023-01-11 14:22:05,quasar-v2.11.5,,439108.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,30279.0,30279.0,630.0,41,True,1,quasar,https://www.npmjs.com/package/quasar,439108.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-01-12 12:49:18,2023-01-12 12:15:43,5178.0,52.0,1039.0,184.0,1517.0,170.0,974.0,22291.0,2023-01-05 17:54:32,xstate@4.35.2,,4445782.0,100.0,State machines and statecharts for the modern web.,176384.0,176384.0,320.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,4445782.0,,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-01-12 17:34:23,2023-01-04 21:21:26,3198.0,157.0,1464.0,439.0,3085.0,280.0,1886.0,57028.0,2022-12-22 14:51:11,tauri-v2.0.0-alpha.2,228879.0,33568.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",9538.0,9538.0,230.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,871.0,,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-01-11 14:03:38,2023-01-09 11:59:05,1718.0,9.0,3840.0,609.0,1105.0,178.0,2279.0,46642.0,2022-05-08 13:50:59,0.9.4,670764.0,10647.0,17.0,Modern CSS framework based on Flexbox.,212624.0,212624.0,394.0,38,True,3,,,,,
8,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-01-12 15:30:34,2023-01-12 06:16:37,11369.0,121.0,2466.0,298.0,5386.0,587.0,3998.0,18373.0,2022-12-15 18:42:45,3.7.3,,,23.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",158395.0,158395.0,790.0,38,True,1,,,,,
9,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-01-11 16:10:43,2022-12-15 02:54:20,4609.0,27.0,3332.0,300.0,1281.0,156.0,4602.0,17612.0,2022-12-01 13:33:51,3.3.0-beta.4,,297391.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,39300.0,39300.0,217.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,297391.0,,
10,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-01-11 14:34:33,2023-01-06 13:58:46,1558.0,53.0,648.0,48.0,666.0,23.0,460.0,9582.0,2022-12-09 10:30:12,pinia@2.0.28,,1472893.0,82.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",56878.0,56878.0,147.0,37,True,2,pinia,https://www.npmjs.com/package/pinia,1472893.0,,
11,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-01-12 17:25:01,2023-01-12 17:24:58,4887.0,195.0,617.0,50.0,783.0,223.0,2507.0,3229.0,2023-01-12 17:18:58,3.22.1,,274213.0,100.0,Next Generation Vue UI Component Library.,9113.0,9113.0,112.0,37,True,2,primevue,https://www.npmjs.com/package/primevue,274213.0,1.0,
12,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2023-01-12 17:41:27,2023-01-12 17:11:03,8673.0,193.0,1645.0,350.0,2118.0,398.0,1641.0,17535.0,2022-07-27 17:37:43,14.1.0,,,78.0,Relay is a JavaScript framework for building data-driven React applications.,6121.0,6121.0,758.0,36,True,2,,,,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-01-12 09:24:06,2023-01-11 03:50:03,8098.0,188.0,1265.0,78.0,2275.0,280.0,1629.0,11373.0,,,,63204.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,5286.0,5286.0,228.0,36,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,63204.0,,
14,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-01-12 09:26:46,2023-01-09 21:43:14,1445.0,4.0,5046.0,529.0,951.0,64.0,2748.0,18923.0,2022-09-06 10:10:34,3.6.5,,8526898.0,90.0,The official router for Vue 2.,,,285.0,34,True,1,vue-router,https://www.npmjs.com/package/vue-router,8526898.0,,
15,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2023-01-12 17:49:27,2023-01-12 00:20:47,1886.0,247.0,144.0,58.0,2457.0,111.0,630.0,578.0,2023-01-10 21:49:09,@aws-amplify/ui@5.5.0,,95763.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",34962.0,34962.0,71.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,95763.0,,
16,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2023-01-09 14:36:52,2023-01-09 14:36:52,2062.0,7.0,3913.0,519.0,407.0,419.0,1090.0,23239.0,2022-10-18 13:19:33,6.4.5,97569.0,1355.0,83.0,Browser devtools extension for debugging Vue.js applications.,2286.0,2286.0,125.0,33,True,1,,,,-1.0,
17,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2023-01-09 17:05:09,2023-01-02 10:53:55,1463.0,7.0,3386.0,786.0,333.0,7.0,1155.0,22958.0,2023-01-02 11:04:26,6.1.0,,,26.0,Bootstrap 5 & Material Design 2.0 UI KIT.,6641.0,6641.0,117.0,32,True,1,,,,,
18,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2023-01-12 10:16:21,2023-01-12 10:16:21,2685.0,151.0,203.0,23.0,1179.0,296.0,1340.0,2006.0,2022-12-13 08:48:01,1.5.3,,5708.0,22.0,Free and Open Source UI Library for Vue 3.,726.0,726.0,84.0,32,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,5708.0,,
19,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2023-01-10 10:00:45,2022-12-29 15:04:38,22142.0,18.0,185.0,24.0,373.0,3.0,128.0,591.0,2022-12-29 15:06:55,4.2.6,3183.0,57.0,75.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,21587.0,21587.0,1527.0,32,True,3,,,,,
20,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1629.0,261.0,142.0,82.0,452.0,10140.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,126602.0,126602.0,25.0,31,True,3,,,,,
21,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2023-01-11 04:13:13,2023-01-11 04:12:12,2363.0,59.0,375.0,98.0,1166.0,16.0,781.0,7737.0,2022-12-10 14:38:05,@urql/exchange-graphcache@5.0.8,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,22417.0,22417.0,213.0,31,True,2,,,,,
22,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-01-08 13:27:45,2023-01-05 07:09:04,2123.0,32.0,832.0,42.0,994.0,30.0,620.0,2638.0,2022-10-24 08:04:24,4.1.6,,1810943.0,51.0,The official router for Vue.js.,,,170.0,30,True,3,router,https://www.npmjs.com/package/router,1810943.0,,
23,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2023-01-12 16:17:53,2023-01-12 16:17:51,516.0,44.0,729.0,168.0,464.0,15.0,763.0,18515.0,2022-12-16 16:40:49,@headlessui/react@v1.7.7,,,67.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",645.0,645.0,40.0,28,True,1,,,,,
24,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/prisma-labs/graphql-request,https://github.com/prisma-labs/graphql-request,MIT,2017-05-10 20:05:07,2023-01-10 18:44:24,2023-01-10 18:42:33,261.0,9.0,267.0,31.0,195.0,134.0,93.0,5074.0,2022-08-27 13:47:06,5.0.0,,,27.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,161367.0,161367.0,75.0,28,True,3,,,,-1.0,
25,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,153.0,33.0,271.0,106.0,144.0,938.0,2020-06-03 22:45:05,0.11.0,,8197.0,29.0,Semantic UI integration for Vue.,1716.0,1716.0,71.0,27,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,8197.0,,
26,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2023-01-06 13:17:57,2023-01-05 06:08:31,1354.0,67.0,136.0,15.0,242.0,31.0,200.0,900.0,2022-12-22 09:31:15,0.5.10,,6727.0,28.0,Oruga is a lightweight library of UI components without CSS framework dependency.,97.0,97.0,58.0,27,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,6727.0,,
27,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2023-01-05 01:08:57,2022-10-05 14:30:15,926.0,,464.0,111.0,435.0,237.0,622.0,5763.0,2021-11-18 13:28:20,3.1.0,,,77.0,Apollo/GraphQL integration for VueJS.,64.0,64.0,123.0,23,True,1,,,,,
28,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2023-01-10 11:02:15,2023-01-10 10:59:57,713.0,24.0,80.0,100.0,781.0,3.0,206.0,1792.0,2023-01-10 11:00:12,fastify-ssr@4.1.0,,,100.0,Minimal hooks-first GraphQL client.,904.0,904.0,77.0,23,True,3,,,,,
29,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2022-12-12 17:40:39,2022-11-10 13:26:47,351.0,12.0,116.0,17.0,43.0,4.0,184.0,541.0,2022-11-10 12:50:56,4.5.0,,,77.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,2676.0,2676.0,6.0,23,True,3,,,,,
