,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,new_addition
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-08-03 16:04:37,2023-08-03 16:04:35,5234.0,93.0,3522.0,595.0,2284.0,7.0,2937.0,70845.0,2023-07-13 16:16:05,3.3.3,1420757.0,41786.0,100.0,A utility-first CSS framework for rapid UI development.,5763496.0,5763496.0,270.0,44,True,1,,,,,,
1,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-08-03 12:09:29,2023-08-01 13:09:48,13232.0,274.0,3176.0,471.0,4457.0,411.0,6901.0,23981.0,2023-07-18 09:43:31,quasar-v2.12.3,,482946.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,38073.0,38073.0,669.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,482946.0,,,
2,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-08-03 16:27:40,2023-08-03 13:37:36,4761.0,131.0,10301.0,190.0,6093.0,1145.0,4422.0,20763.0,2023-07-14 03:18:17,2.3.8,,770999.0,100.0,A Vue.js 3 UI Library made by Element team.,59390.0,59390.0,513.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,770999.0,,,
3,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-05-28 16:22:06,2023-03-09 01:26:52,1209.0,,9428.0,769.0,962.0,89.0,1165.0,28092.0,2021-06-17 15:52:07,4.0.2,,7408159.0,51.0,Centralized State Management for Vue.js.,1207848.0,1207848.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7408159.0,-1.0,,
4,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-08-03 16:54:18,2023-07-26 11:38:09,3869.0,220.0,1831.0,477.0,3635.0,489.0,2377.0,67162.0,2023-06-17 19:17:25,tauri-cli-v2.0.0-alpha.10,258779.0,45070.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",17586.0,17586.0,285.0,41,True,1,tauri,https://www.npmjs.com/package/tauri,1941.0,,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-08-03 17:42:31,2023-07-27 08:45:10,5262.0,21.0,1111.0,192.0,1774.0,110.0,1086.0,24516.0,2023-07-27 08:50:15,xstate@4.38.2,,5925477.0,100.0,State machines and statecharts for the modern web.,224236.0,224236.0,333.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5925477.0,,,
6,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-08-03 13:16:36,2023-08-03 06:21:30,1451.0,1.0,10112.0,1206.0,1394.0,423.0,3832.0,101122.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,10093240.0,10093240.0,440.0,40,True,1,,,,-1.0,,
7,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-08-03 13:23:05,2023-07-28 00:24:13,5376.0,5.0,1843.0,295.0,3670.0,156.0,3210.0,14351.0,2022-04-17 12:49:53,2.22.0,,1640367.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,164429.0,164429.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1640367.0,,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-08-03 08:32:52,2023-08-03 08:32:50,1743.0,83.0,835.0,52.0,757.0,26.0,568.0,10921.0,2023-07-26 14:39:43,pinia@2.1.6,,3167877.0,97.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",130705.0,130705.0,186.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,3167877.0,2.0,,
9,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-08-03 14:55:09,2023-08-03 14:55:05,6949.0,986.0,754.0,58.0,915.0,426.0,2862.0,4134.0,2023-07-25 13:03:04,3.31.0,,427294.0,100.0,Next Generation Vue UI Component Library.,13193.0,13193.0,150.0,39,True,2,primevue,https://www.npmjs.com/package/primevue,427294.0,,,
10,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-08-02 21:11:40,2023-07-18 15:07:27,1739.0,9.0,3867.0,600.0,1129.0,197.0,2278.0,47400.0,2022-05-08 13:50:59,0.9.4,716572.0,10236.0,17.0,Modern CSS framework based on Flexbox.,232276.0,232276.0,401.0,38,True,3,,,,-1.0,,
11,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-08-03 15:09:07,2023-08-02 16:53:02,11915.0,179.0,2531.0,293.0,5868.0,463.0,4311.0,18854.0,2023-07-05 19:13:34,3.7.17,,,64.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",201028.0,201028.0,830.0,38,True,1,,,,,,
12,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-08-03 07:08:04,2023-07-31 00:52:52,4684.0,30.0,3517.0,303.0,1523.0,177.0,4910.0,18449.0,2023-07-03 13:45:43,4.0.0-rc.6,,381731.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,46226.0,46226.0,243.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,381731.0,,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-08-03 09:54:19,2023-08-03 01:35:31,8264.0,113.0,1461.0,84.0,2581.0,508.0,1836.0,13312.0,,,,105016.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,20234.0,20234.0,260.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,105016.0,,,
14,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2023-08-03 16:29:24,2023-08-02 23:55:35,9010.0,119.0,1707.0,337.0,2270.0,444.0,1655.0,17864.0,2023-03-08 22:16:55,15.0.0,,,79.0,Relay is a JavaScript framework for building data-driven React applications.,6622.0,6622.0,810.0,36,True,2,,,,,,
