,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-09-19 14:27:58,2024-09-19 13:43:48,5499.0,133.0,4098.0,617.0,2824.0,45.0,3346.0,81986.0,2024-09-17 15:08:34,3.4.12,3993885.0,86823.0,100.0,A utility-first CSS framework for rapid UI development.,11050314.0,11050314.0,288.0,46,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-09-19 12:35:41,2024-09-19 12:35:41,5567.0,239.0,15908.0,203.0,7352.0,1418.0,5434.0,24197.0,2024-09-13 08:23:15,2.8.3,,980425.0,100.0,A Vue.js 3 UI Library made by Element team.,97053.0,97053.0,675.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,980425.0,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-08-06 13:44:41,2023-08-08 11:38:57,1210.0,,9496.0,759.0,979.0,98.0,1166.0,28401.0,2021-06-17 15:52:07,4.0.2,,6484446.0,51.0,Centralized State Management for Vue.js.,1315578.0,1315578.0,335.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6484446.0,,
3,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-09-18 22:22:54,2024-09-18 16:23:52,6713.0,72.0,1228.0,192.0,2307.0,84.0,1256.0,26920.0,2024-09-18 16:25:12,@xstate/store@2.5.0,,6858867.0,100.0,Actor-based state management & orchestration for complex app logic.,273734.0,273734.0,364.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,6858867.0,,
4,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-09-19 12:43:14,2024-09-19 12:43:11,11220.0,650.0,1179.0,86.0,1391.0,584.0,4421.0,9873.0,2024-09-11 13:59:41,4.0.7,,1091220.0,100.0,Next Generation Vue UI Component Library.,27032.0,27032.0,300.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1091220.0,,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-09-18 01:29:16,2024-09-15 13:40:47,1572.0,32.0,10656.0,1196.0,1678.0,635.0,4040.0,105241.0,2024-08-31 22:02:04,1.7.7,,,84.0,Promise based HTTP client for the browser and node.js.,14263880.0,14263880.0,467.0,42,True,1,,,,,
6,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-09-19 13:58:29,2024-09-19 13:24:10,14419.0,181.0,3477.0,461.0,4653.0,486.0,7293.0,25753.0,2024-09-17 12:05:05,quasar-v2.17.0,,583730.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,52093.0,52093.0,740.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,583730.0,,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-09-19 01:02:38,2024-09-18 13:46:10,1878.0,52.0,3907.0,595.0,1191.0,282.0,2364.0,49160.0,2024-07-25 15:02:20,1.0.2,823657.0,9923.0,20.0,Modern CSS framework based on Flexbox.,253664.0,253664.0,418.0,41,True,3,,,,,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-09-13 06:46:40,2024-09-13 06:46:30,2439.0,39.0,1167.0,57.0,1196.0,29.0,876.0,3864.0,2024-09-13 06:46:46,4.4.5,,2965427.0,71.0,The official router for Vue.js.,2363707.0,2363707.0,240.0,41,True,1,router,https://www.npmjs.com/package/router,2965427.0,-1.0,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-07-13 08:09:25,2023-07-28 00:24:13,5376.0,,1851.0,289.0,3678.0,168.0,3230.0,14505.0,2022-04-17 12:49:53,2.22.0,,1082070.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,179228.0,179228.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1082070.0,,
