,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2024-04-25 17:14:02,2024-04-24 17:29:19,28123,179.0,14586.0,2860,21650.0,832.0,18703.0,111944.0,2024-04-18 17:26:31,30.0.1,6465733.0,4686603.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",343601.0,343601.0,1452.0,https://www.npmjs.com/package/electron,3070170.0,50,True,1,,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-04-25 10:37:46,2024-04-25 10:37:45,5342,117.0,3901.0,607,2611.0,22.0,3213.0,78367.0,2024-03-27 19:46:36,3.4.3,2975203.0,72565.0,100.0,A utility-first CSS framework for rapid UI development.,9045121.0,9045121.0,284.0,,,46,True,1,['css'],,
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-04-25 14:50:04,2024-04-25 14:50:02,5232,162.0,13842.0,196,6865.0,1314.0,5071.0,23133.0,2024-04-20 08:16:45,2.7.1,,948079.0,100.0,A Vue.js 3 UI Library made by Element team.,83584.0,83584.0,605.0,https://www.npmjs.com/package/element-plus,948079.0,44,True,1,"['vue3', 'typescript']",,
3,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-04-02 10:27:09,2023-08-08 11:38:57,1210,,9484.0,763,971.0,95.0,1165.0,28360.0,2021-06-17 15:52:07,4.0.2,,6703405.0,51.0,Centralized State Management for Vue.js.,1284054.0,1284054.0,335.0,https://www.npmjs.com/package/vuex,6703405.0,43,True,1,['vue3'],,
4,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-04-24 19:46:19,2024-04-24 19:44:40,6613,63.0,1206.0,190,2197.0,70.0,1230.0,26147.0,2024-04-24 19:45:59,xstate@5.12.0,,6812507.0,100.0,Actor-based state management & orchestration for complex app logic.,256208.0,256208.0,354.0,https://www.npmjs.com/package/xstate,6812507.0,43,True,1,[],,
5,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-04-25 13:58:21,2024-04-25 13:55:38,14103,496.0,3394.0,473,4602.0,471.0,7174.0,25214.0,2024-04-25 13:58:22,@quasar/app-webpack-v3.12.7,,534690.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,47108.0,47108.0,717.0,https://www.npmjs.com/package/quasar,534690.0,43,True,1,"['vue3', 'javascript']",,
6,vue-router,vuejs/vue-router,vue-router,routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-04-17 15:20:22,2024-04-09 08:16:13,1459,4.0,5027.0,511,972.0,64.0,2778.0,19019.0,2022-09-06 10:10:34,3.6.5,,11617674.0,90.0,The official router for Vue 2.,2234268.0,2234268.0,290.0,https://www.npmjs.com/package/vue-router,11617674.0,43,True,1,['vue2'],9.0,
7,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-04-23 05:33:18,2024-03-30 17:11:01,1521,9.0,10548.0,1201,1595.0,547.0,3994.0,104031.0,2024-03-28 17:36:08,0.28.1,,,73.0,Promise based HTTP client for the browser and node.js.,12715205.0,12715205.0,457.0,,,41,True,1,"['vue2', 'vue3']",-1.0,
8,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-04-25 11:57:45,2024-04-25 09:08:37,9167,457.0,997.0,75,1193.0,362.0,4045.0,7632.0,2024-04-04 07:38:15,3.51.0,,778731.0,100.0,Next Generation Vue UI Component Library.,21145.0,21145.0,253.0,https://www.npmjs.com/package/primevue,778731.0,41,True,2,"['vue3', 'typescript']",,
9,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-04-18 10:00:44,2024-04-18 10:00:34,2349,42.0,1103.0,55,1168.0,28.0,822.0,3627.0,2024-04-18 10:00:52,4.3.2,,2577465.0,60.0,The official router for Vue.js.,2234268.0,2234268.0,227.0,https://www.npmjs.com/package/router,2577465.0,41,True,3,['vue3'],1.0,
