,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-09-12 16:43:49,2024-09-12 14:29:17,5486.0,121.0,4085.0,615.0,2798.0,42.0,3339.0,81831.0,2024-09-11 17:32:47,3.4.11,3938692.0,85623.0,100.0,A utility-first CSS framework for rapid UI development.,10960148.0,10960148.0,288.0,46,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-09-12 16:22:42,2024-09-12 14:13:25,5553.0,237.0,15831.0,203.0,7329.0,1407.0,5424.0,24157.0,2024-09-06 10:50:54,2.8.2,,957365.0,100.0,A Vue.js 3 UI Library made by Element team.,96525.0,96525.0,673.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,957365.0,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-08-06 13:44:41,2023-08-08 11:38:57,1210.0,,9496.0,761.0,979.0,98.0,1166.0,28406.0,2021-06-17 15:52:07,4.0.2,,6387270.0,51.0,Centralized State Management for Vue.js.,1314311.0,1314311.0,335.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6387270.0,,
3,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-09-12 14:43:30,2024-09-10 13:53:19,6703.0,65.0,1224.0,192.0,2296.0,82.0,1256.0,26865.0,2024-09-06 07:22:50,@xstate/react@4.1.2,,6699716.0,100.0,Actor-based state management & orchestration for complex app logic.,272877.0,272877.0,364.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,6699716.0,,
4,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-09-12 11:20:53,2024-09-12 11:20:51,11103.0,557.0,1171.0,87.0,1382.0,564.0,4403.0,9797.0,2024-09-11 13:59:41,4.0.7,,1033942.0,100.0,Next Generation Vue UI Component Library.,26768.0,26768.0,300.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1033942.0,,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-08-31 22:02:03,2024-08-31 22:01:25,1571.0,31.0,10654.0,1197.0,1674.0,637.0,4036.0,105196.0,2024-08-31 22:02:04,1.7.7,,,84.0,Promise based HTTP client for the browser and node.js.,14196898.0,14196898.0,467.0,42,True,1,,,,,
6,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-09-12 13:37:39,2024-09-12 13:37:20,14382.0,144.0,3471.0,461.0,4649.0,498.0,7276.0,25726.0,2024-09-06 14:10:14,quasar-v2.16.11,,569753.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,51927.0,51927.0,739.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,569753.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-09-11 15:38:55,2024-09-10 17:59:21,2435.0,50.0,1166.0,57.0,1196.0,29.0,874.0,3858.0,2024-09-10 17:59:37,4.4.4,,2836831.0,70.0,The official router for Vue.js.,2357744.0,2357744.0,240.0,42,True,1,router,https://www.npmjs.com/package/router,2836831.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-09-04 15:54:14,2024-09-04 15:54:14,1874.0,48.0,3904.0,597.0,1187.0,287.0,2357.0,49138.0,2024-07-25 15:02:20,1.0.2,821881.0,9902.0,20.0,Modern CSS framework based on Flexbox.,253420.0,253420.0,418.0,41,True,3,,,,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-07-13 08:09:25,2023-07-28 00:24:13,5376.0,,1853.0,289.0,3678.0,168.0,3230.0,14500.0,2022-04-17 12:49:53,2.22.0,,1055572.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,179068.0,179068.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1055572.0,,
10,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-09-10 12:00:51,2024-09-10 11:58:02,1989.0,57.0,1015.0,68.0,861.0,30.0,682.0,12948.0,2024-08-15 17:40:48,pinia@2.2.2,,5794354.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",272598.0,272598.0,242.0,40,True,2,pinia,https://www.npmjs.com/package/pinia,5794354.0,,
11,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-09-12 17:53:39,2024-09-12 17:36:48,4932.0,290.0,2433.0,501.0,4849.0,936.0,3512.0,81729.0,2024-09-10 17:21:18,tauri-cli-v2.0.0-rc.13,48558.0,49860.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",645.0,645.0,395.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,1302.0,,
12,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-09-11 23:34:21,2024-09-10 16:44:36,12584.0,144.0,2614.0,287.0,6459.0,468.0,4646.0,19324.0,2024-09-05 08:37:52,3.11.8,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",185672.0,185672.0,890.0,38,True,1,,,,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-09-11 09:16:58,2024-08-11 14:47:35,8783.0,110.0,1645.0,89.0,3036.0,449.0,2582.0,15877.0,,,,106608.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,31093.0,31093.0,319.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,106608.0,,
14,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-09-11 19:38:37,2024-09-05 03:38:10,5256.0,3.0,3740.0,301.0,1837.0,177.0,5552.0,20075.0,2024-06-10 01:37:15,4.2.3,,432468.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,57373.0,57373.0,285.0,37,True,3,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,432468.0,,
15,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-08-12 11:21:02,2024-07-23 23:17:34,4775.0,13.0,1247.0,115.0,920.0,92.0,3313.0,10744.0,2024-07-05 15:16:09,4.13.2,,,100.0,Painless Vue forms.,84474.0,84474.0,383.0,35,True,1,,,,,
16,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-09-11 09:44:10,2024-09-11 09:44:10,3621.0,80.0,335.0,33.0,1749.0,456.0,2020.0,3458.0,2024-09-02 13:35:48,1.10.0,,12443.0,58.0,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high..",1607.0,1607.0,128.0,34,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,12443.0,,
17,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-09-12 17:41:30,2024-09-12 17:22:17,3105.0,107.0,268.0,56.0,4475.0,155.0,980.0,823.0,2024-09-11 17:44:20,@aws-amplify/ui-react-ai@0.1.1,,130815.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",57055.0,57055.0,129.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,130815.0,,
18,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-09-11 21:36:47,2024-09-06 09:32:00,1463.0,2.0,4997.0,509.0,980.0,64.0,2788.0,18988.0,2022-09-06 10:10:34,3.6.5,,12345489.0,90.0,The official router for Vue 2.,3.0,3.0,291.0,33,True,3,vue-router,https://www.npmjs.com/package/vue-router,12345489.0,,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-09-11 05:37:47,2024-09-11 05:36:49,2713.0,24.0,446.0,89.0,1517.0,22.0,926.0,8604.0,2024-09-11 05:37:47,@urql/exchange-graphcache@7.1.3,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,485218.0,485218.0,255.0,33,True,2,,,,,
20,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2024-09-12 17:29:40,2024-09-12 17:10:12,9973.0,245.0,1769.0,332.0,2526.0,542.0,1693.0,18358.0,2024-09-07 01:12:44,18.0.0,,,84.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,896.0,32,True,2,,,,,
21,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2024-09-10 09:47:05,2024-08-22 12:19:36,22339.0,29.0,193.0,23.0,635.0,3.0,147.0,760.0,2024-08-22 12:20:55,5.1.2,7776.0,103.0,92.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,36696.0,36696.0,1527.0,32,True,3,,,,,
22,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2024-09-12 10:35:34,2024-09-12 10:35:23,846.0,45.0,1046.0,165.0,736.0,49.0,1223.0,25664.0,2024-09-12 10:36:03,@headlessui/react@v2.1.8,,,100.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",4812.0,4812.0,67.0,31,True,1,,,,1.0,
23,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools-v6,https://github.com/vuejs/devtools-v6,MIT,2014-09-29 03:52:07,2024-09-11 14:49:24,2024-09-09 12:43:34,2151.0,4.0,4125.0,511.0,446.0,464.0,1136.0,24610.0,2024-09-09 12:48:24,6.6.4,103873.0,1129.0,90.0,Browser devtools extension for debugging Vue.js applications.,3.0,3.0,143.0,30,True,1,,,,1.0,vuejs/devtools-v6
24,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1589.0,258.0,142.0,83.0,453.0,10083.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,131891.0,131891.0,26.0,30,True,3,,,,,
25,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2024-07-24 15:36:47,2024-07-24 15:36:47,1478.0,2.0,3459.0,771.0,340.0,21.0,1173.0,24158.0,2024-06-17 07:21:27,7.3.2,,,38.0,Bootstrap 5 & Material Design UI KIT.,12920.0,12920.0,120.0,29,True,1,,,,-1.0,
26,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2024-08-08 15:18:03,2024-08-08 15:15:23,1734.0,79.0,171.0,10.0,621.0,28.0,386.0,1118.0,2024-06-28 08:53:44,m0.8.12,,4521.0,45.0,Oruga is a lightweight library of UI components without any CSS framework dependency.,3.0,3.0,86.0,26,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,4521.0,,
27,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-04-22 12:15:25,2023-12-22 13:21:42,670.0,,491.0,79.0,334.0,191.0,725.0,6856.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",48109.0,48109.0,93.0,25,True,2,,,,,
28,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-09-12 15:55:57,2024-09-12 15:55:53,2022.0,5.0,169.0,34.0,289.0,130.0,887.0,4240.0,2024-05-30 15:51:22,1.6.5,,,46.0,Vue Forms Supercharged.,106.0,106.0,59.0,25,True,2,,,,,
29,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,147.0,34.0,271.0,106.0,145.0,933.0,2020-06-03 22:45:05,0.11.0,,4614.0,29.0,Semantic UI integration for Vue.,1857.0,1857.0,71.0,24,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,4614.0,,
30,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2024-08-23 09:42:28,2024-08-23 09:42:25,1040.0,20.0,503.0,108.0,468.0,258.0,677.0,6013.0,2024-08-23 09:42:42,4.2.1,,,94.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,140.0,23,True,1,,,,,
