,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-03-28 17:56:21,2024-03-27 17:32:10,5315.0,96.0,3869.0,604.0,2579.0,16.0,3178.0,77606.0,2024-03-27 19:46:36,3.4.3,2798365.0,69959.0,100.0,A utility-first CSS framework for rapid UI development.,8683874.0,8683874.0,279.0,46,True,1,1.0,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-03-28 10:31:40,2024-03-28 09:27:46,5176.0,182.0,13414.0,196.0,6782.0,1275.0,5014.0,22911.0,2024-03-22 15:04:54,2.6.2,,921190.0,100.0,A Vue.js 3 UI Library made by Element team.,80506.0,80506.0,592.0,44,True,1,,element-plus,https://www.npmjs.com/package/element-plus,921190.0,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-02-19 16:53:19,2023-08-08 11:38:57,1210.0,,9482.0,762.0,970.0,95.0,1165.0,28339.0,2021-06-17 15:52:07,4.0.2,,6890501.0,51.0,Centralized State Management for Vue.js.,1276836.0,1276836.0,335.0,43,True,1,,vuex,https://www.npmjs.com/package/vuex,6890501.0,
3,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-03-28 00:07:34,2024-03-21 09:01:12,6591.0,77.0,1199.0,188.0,2181.0,61.0,1223.0,26003.0,2024-03-02 22:55:57,xstate@5.9.1,,7127527.0,100.0,Actor-based state management & orchestration for complex app logic.,253516.0,253516.0,353.0,43,True,1,,xstate,https://www.npmjs.com/package/xstate,7127527.0,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-03-28 17:38:00,2024-03-28 17:37:47,13868.0,294.0,3388.0,472.0,4591.0,456.0,7158.0,25106.0,2024-03-28 13:44:38,@quasar-extras-v1.16.10,,554896.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,46193.0,46193.0,715.0,43,True,1,,quasar,https://www.npmjs.com/package/quasar,554896.0,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-03-28 17:36:07,2024-03-15 16:31:56,1520.0,23.0,10523.0,1203.0,1583.0,532.0,3983.0,103780.0,2024-03-28 17:36:08,0.28.1,,,73.0,Promise based HTTP client for the browser and node.js.,12439890.0,12439890.0,457.0,42,True,1,,,,,
6,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-03-28 15:27:39,2024-03-28 12:55:05,9072.0,625.0,967.0,72.0,1166.0,332.0,3952.0,7231.0,2024-03-15 09:13:42,3.50.0,,764763.0,100.0,Next Generation Vue UI Component Library.,19844.0,19844.0,242.0,41,True,2,,primevue,https://www.npmjs.com/package/primevue,764763.0,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-03-24 20:36:23,2024-03-24 20:36:20,1794.0,39.0,3877.0,593.0,1156.0,237.0,2303.0,48436.0,2024-03-21 17:55:47,1.0.0,775260.0,10068.0,18.0,Modern CSS framework based on Flexbox.,246143.0,246143.0,409.0,40,True,3,,,,,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-01-15 04:29:42,2023-07-28 00:24:13,5376.0,,1844.0,294.0,3674.0,161.0,3219.0,14447.0,2022-04-17 12:49:53,2.22.0,,1442365.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,174342.0,174342.0,356.0,40,True,2,,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1442365.0,
9,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-03-28 09:55:56,2024-03-28 09:55:50,2340.0,41.0,1086.0,55.0,1161.0,28.0,813.0,3584.0,2024-02-21 17:12:03,4.3.0,,2673925.0,58.0,The official router for Vue.js.,2205932.0,2205932.0,224.0,40,True,1,-1.0,router,https://www.npmjs.com/package/router,2673925.0,
10,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-03-28 15:59:54,2024-03-28 15:59:50,1887.0,42.0,944.0,65.0,828.0,28.0,640.0,12211.0,2023-10-13 09:39:45,pinia@2.1.7,,4738714.0,98.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",215223.0,215223.0,228.0,39,True,2,,pinia,https://www.npmjs.com/package/pinia,4738714.0,
11,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-03-28 16:14:05,2024-03-28 14:25:46,4463.0,252.0,2205.0,488.0,4240.0,712.0,2966.0,76393.0,2024-03-20 23:19:26,tauri-cli-v2.0.0-beta.11,39557.0,40947.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",600.0,600.0,351.0,38,True,1,,tauri,https://www.npmjs.com/package/tauri,1390.0,
12,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-03-28 07:08:16,2024-03-23 02:40:28,5193.0,26.0,3642.0,302.0,1728.0,205.0,5288.0,19467.0,2024-01-05 11:34:20,4.1.0,,368394.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,52689.0,52689.0,270.0,38,True,2,,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,368394.0,
13,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-03-26 20:26:38,2024-03-26 18:38:44,12332.0,141.0,2597.0,288.0,6243.0,480.0,4525.0,19181.0,2024-03-22 19:44:35,3.9.9,,,96.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",181005.0,181005.0,873.0,38,True,1,,,,,
14,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-03-26 02:30:38,2024-03-22 01:57:21,8615.0,140.0,1560.0,87.0,2877.0,262.0,2437.0,15005.0,,,,173183.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,28602.0,28602.0,299.0,38,True,2,,naive-ui,https://www.npmjs.com/package/naive-ui,173183.0,
15,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-03-27 09:38:29,2024-03-09 15:17:03,4734.0,21.0,1223.0,115.0,894.0,77.0,3239.0,10495.0,2024-03-10 23:15:18,4.12.6,,,100.0,Painless Vue forms.,78050.0,78050.0,370.0,35,True,1,,,,,
16,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-03-28 02:06:15,2024-03-18 05:35:29,1458.0,4.0,5024.0,511.0,971.0,64.0,2778.0,19012.0,2022-09-06 10:10:34,3.6.5,,12048505.0,90.0,The official router for Vue 2.,3.0,3.0,290.0,34,True,3,,vue-router,https://www.npmjs.com/package/vue-router,12048505.0,
17,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-03-26 15:37:27,2024-03-22 08:00:17,3445.0,118.0,312.0,30.0,1652.0,456.0,1933.0,3257.0,2024-03-14 15:26:14,1.9.7,,37712.0,52.0,Free and Open Source UI Library for Vue 3.,1361.0,1361.0,122.0,34,True,3,,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,37712.0,
18,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-03-27 23:48:20,2024-03-27 16:47:09,2908.0,124.0,244.0,56.0,3890.0,141.0,908.0,759.0,2024-03-26 18:17:46,@aws-amplify/ui-react-liveness@3.0.16,,115911.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",47933.0,47933.0,112.0,34,True,3,,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,115911.0,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-03-28 15:05:22,2024-03-28 15:04:19,2654.0,42.0,435.0,89.0,1455.0,18.0,913.0,8450.0,2024-03-27 12:10:54,@urql/exchange-persisted@4.2.0,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,374664.0,374664.0,247.0,33,True,2,,,,,
20,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2024-03-21 00:47:14,2024-03-03 22:14:44,2138.0,51.0,4073.0,514.0,439.0,453.0,1128.0,24279.0,2024-02-15 18:10:48,6.6.1,102638.0,1193.0,87.0,Browser devtools extension for debugging Vue.js applications.,3.0,3.0,141.0,32,True,1,,,,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2024-03-28 00:13:23,2024-03-27 23:23:45,9472.0,195.0,1751.0,332.0,2429.0,518.0,1681.0,18150.0,2024-01-23 16:49:06,16.2.0,,,82.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,865.0,32,True,2,1.0,,,,
22,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2024-03-28 09:56:16,2024-03-28 09:56:13,22289.0,18.0,185.0,22.0,567.0,1.0,138.0,705.0,2024-03-28 09:54:57,5.0.0,5203.0,75.0,87.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,31968.0,31968.0,1526.0,32,True,3,1.0,,,,
23,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1594.0,259.0,142.0,83.0,453.0,10109.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,130986.0,130986.0,26.0,30,True,3,,,,,
24,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2024-03-27 07:13:41,2024-03-25 03:45:24,462.0,74.0,294.0,32.0,395.0,14.0,289.0,5627.0,2023-05-23 16:56:08,6.1.0,,,30.0,Minimal GraphQL client.,229304.0,229304.0,88.0,30,True,3,,,,,jasonkuhrt/graphql-request
25,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2024-03-11 11:19:56,2024-03-11 11:17:27,1474.0,2.0,3461.0,779.0,339.0,13.0,1172.0,23987.0,2024-03-11 11:46:21,7.2.0,,,35.0,Bootstrap 5 & Material Design UI KIT.,11705.0,11705.0,119.0,29,True,1,,,,,
26,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2024-03-27 16:04:29,2024-03-27 16:04:28,712.0,34.0,988.0,167.0,616.0,23.0,1099.0,23973.0,2024-02-07 21:50:10,@headlessui/vue@v1.7.19,,,96.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",2916.0,2916.0,59.0,29,True,1,1.0,,,,
27,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-03-28 16:33:02,2024-03-27 20:08:38,1977.0,203.0,151.0,31.0,273.0,66.0,806.0,4008.0,2024-03-27 20:15:59,1.6.1,,,42.0,Vue Forms Supercharged.,78.0,78.0,56.0,28,True,2,2.0,,,,
28,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-03-20 18:31:29,2023-12-22 13:21:42,670.0,,494.0,80.0,331.0,180.0,724.0,6805.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",46978.0,46978.0,93.0,26,True,3,,,,,
29,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2024-03-28 15:39:09,2024-03-28 15:39:09,1590.0,106.0,173.0,11.0,490.0,43.0,334.0,1086.0,2024-03-11 07:55:24,0.8.6,,6468.0,37.0,Oruga is a lightweight library of UI components without any CSS framework dependency.,3.0,3.0,84.0,26,True,3,,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,6468.0,
30,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,148.0,34.0,271.0,106.0,145.0,936.0,2020-06-03 22:45:05,0.11.0,,5351.0,29.0,Semantic UI integration for Vue.,1835.0,1835.0,71.0,24,True,3,,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,5351.0,
31,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2024-03-28 09:52:22,2024-03-19 15:59:06,1018.0,21.0,497.0,109.0,457.0,254.0,667.0,5984.0,2024-03-08 10:56:30,4.0.2,,,91.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,136.0,23,True,1,,,,,
32,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2024-03-26 16:07:26,2024-03-26 16:06:30,777.0,15.0,88.0,110.0,920.0,,239.0,1866.0,2024-01-19 16:50:14,typescript-example@4.0.0,,,100.0,Minimal hooks-first GraphQL client.,1105.0,1105.0,88.0,23,True,3,,,,,
33,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2024-03-28 15:51:11,2024-03-28 15:49:47,590.0,30.0,131.0,16.0,47.0,3.0,215.0,585.0,2024-03-28 15:51:11,5.0.0,,,98.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3412.0,3412.0,7.0,23,True,2,,,,,
34,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,165.0,38.0,257.0,128.0,415.0,2362.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,34.0,34.0,62.0,22,True,2,,,,,
35,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,"['vue3', 'bootstrap5', 'coreui']",admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,MIT,2017-08-15 09:29:16,2024-03-28 16:08:51,2024-03-28 16:08:07,498.0,15.0,929.0,122.0,81.0,1.0,199.0,3218.0,2024-03-28 16:08:51,5.0.0,,,62.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,21,True,1,,,,,
36,vue-formulate,wearebraid/vue-formulate,,forms,https://github.com/wearebraid/vue-formulate,https://github.com/wearebraid/vue-formulate,MIT,2019-10-07 14:13:30,2023-05-06 23:19:06,2022-04-13 12:37:08,558.0,,243.0,30.0,126.0,113.0,339.0,2228.0,,,,,,The easiest way to build forms with Vue.,44.0,44.0,18.0,19,True,3,,,,,
