,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-07-05 14:19:07,2023-07-05 14:19:03,5206.0,83.0,3471.0,590.0,2254.0,13.0,2898.0,69973.0,2023-04-25 22:21:44,3.3.2,1294535.0,39228.0,100.0,A utility-first CSS framework for rapid UI development.,5424316.0,5424316.0,268.0,44,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-05-28 16:22:06,2023-03-09 01:26:52,1209.0,,9443.0,770.0,962.0,88.0,1165.0,28085.0,2021-06-17 15:52:07,4.0.2,,7379702.0,51.0,Centralized State Management for Vue.js.,1197731.0,1197731.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7379702.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-07-06 16:39:38,2023-07-06 16:39:38,13203.0,317.0,3152.0,472.0,4445.0,395.0,6889.0,23797.0,2023-07-01 10:18:51,quasar-v2.12.2,,476990.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,37128.0,37128.0,666.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,476990.0,1.0,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-07-06 15:04:41,2023-07-06 11:06:34,4718.0,127.0,9902.0,191.0,5996.0,1100.0,4357.0,20465.0,2023-06-21 05:58:41,2.3.7,,823906.0,100.0,A Vue.js 3 UI Library made by Element team.,56558.0,56558.0,501.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,823906.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-07-05 15:26:19,2023-04-27 23:04:53,1450.0,13.0,10065.0,1203.0,1379.0,402.0,3827.0,100808.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,9803882.0,9803882.0,439.0,42,True,1,,,,,
5,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-05-28 16:20:35,2023-05-10 07:37:47,1451.0,2.0,5042.0,515.0,957.0,65.0,2763.0,19003.0,2022-09-06 10:10:34,3.6.5,,10929854.0,90.0,The official router for Vue 2.,1930995.0,1930995.0,289.0,42,True,1,vue-router,https://www.npmjs.com/package/vue-router,10929854.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-07-06 15:35:49,2023-06-25 22:31:36,5257.0,23.0,1098.0,187.0,1753.0,107.0,1077.0,24158.0,2023-06-25 16:00:37,xstate@4.38.0,,5492061.0,100.0,State machines and statecharts for the modern web.,219466.0,219466.0,331.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5492061.0,1.0,
7,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-07-06 13:00:16,2023-07-05 20:41:46,3849.0,261.0,1802.0,470.0,3592.0,457.0,2311.0,66182.0,2023-06-17 19:17:25,tauri-cli-v2.0.0-alpha.10,195775.0,41254.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",16185.0,16185.0,284.0,40,True,1,tauri,https://www.npmjs.com/package/tauri,2099.0,,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-06-09 14:46:58,2023-01-08 16:38:27,5371.0,,1841.0,297.0,3667.0,156.0,3204.0,14338.0,2022-04-17 12:49:53,2.22.0,,1570957.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,163131.0,163131.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1570957.0,,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-07-03 15:41:30,2023-07-03 15:41:28,1735.0,7.0,3869.0,599.0,1125.0,194.0,2276.0,47298.0,2022-05-08 13:50:59,0.9.4,711284.0,10308.0,17.0,Modern CSS framework based on Flexbox.,230245.0,230245.0,400.0,38,True,3,,,,-1.0,
