,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-12-14 10:00:34,2023-12-14 10:00:33,5377.0,110.0,3699.0,597.0,2413.0,4.0,3059.0,74226.0,2023-12-04 18:26:36,3.3.6,2121073.0,57326.0,100.0,A utility-first CSS framework for rapid UI development.,7355410.0,7355410.0,282.0,45,True,1,,,,,
1,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-12-13 17:53:25,2023-12-13 17:51:46,6495.0,213.0,1146.0,187.0,2070.0,42.0,1196.0,25326.0,2023-12-13 17:53:15,xstate@5.3.0,,6322939.0,100.0,State machines and statecharts for the modern web.,241358.0,241358.0,347.0,44,True,1,xstate,https://www.npmjs.com/package/xstate,6322939.0,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-11-20 23:49:44,2023-08-08 11:38:57,1210.0,,9458.0,767.0,968.0,92.0,1166.0,28291.0,2021-06-17 15:52:07,4.0.2,,6764842.0,51.0,Centralized State Management for Vue.js.,1249806.0,1249806.0,335.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,6764842.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-12-14 15:22:54,2023-12-14 13:07:05,4961.0,120.0,12091.0,196.0,6441.0,1262.0,4693.0,22049.0,2023-11-27 09:25:59,2.4.3,,837669.0,100.0,A Vue.js 3 UI Library made by Element team.,71307.0,71307.0,556.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,837669.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-12-14 15:18:06,2023-11-14 20:35:24,1491.0,27.0,10466.0,1206.0,1511.0,463.0,3951.0,102762.0,2023-11-14 20:36:05,1.6.2,,,65.0,Promise based HTTP client for the browser and node.js.,11389604.0,11389604.0,450.0,42,True,1,,,,,
5,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-12-14 08:29:18,2023-12-13 13:27:07,13566.0,136.0,3298.0,469.0,4532.0,428.0,7063.0,24666.0,2023-12-04 10:58:08,@quasar/app-webpack-v3.12.1,,531051.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,42877.0,42877.0,694.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,531051.0,,
6,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-11-17 14:31:17,2023-10-31 08:46:09,1454.0,1.0,5032.0,513.0,965.0,64.0,2776.0,19010.0,2022-09-06 10:10:34,3.6.5,,11345747.0,90.0,The official router for Vue 2.,2104362.0,2104362.0,290.0,42,True,1,vue-router,https://www.npmjs.com/package/vue-router,11345747.0,,
7,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-12-14 13:41:55,2023-12-14 13:41:53,8334.0,997.0,880.0,61.0,1078.0,276.0,3577.0,5533.0,2023-12-13 10:06:45,3.44.0,,590117.0,100.0,Next Generation Vue UI Component Library.,16381.0,16381.0,213.0,41,True,2,primevue,https://www.npmjs.com/package/primevue,590117.0,,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-10-29 02:32:36,2023-07-28 00:24:13,5376.0,,1844.0,294.0,3672.0,160.0,3217.0,14425.0,2022-04-17 12:49:53,2.22.0,,1449344.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,170302.0,170302.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1449344.0,,
9,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-12-14 11:59:28,2023-12-14 11:59:27,1840.0,82.0,900.0,61.0,805.0,22.0,618.0,11714.0,2023-10-13 09:39:45,pinia@2.1.7,,3887366.0,98.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",178433.0,178433.0,215.0,40,True,2,pinia,https://www.npmjs.com/package/pinia,3887366.0,,
