,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-04-13 15:50:49,2023-04-13 10:49:06,5125.0,149.0,3363.0,597.0,2171.0,4.0,2788.0,67137.0,2023-03-30 19:39:31,3.3.1,935720.0,31190.0,100.0,A utility-first CSS framework for rapid UI development.,4338719.0,4338719.0,262.0,44,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-04-13 17:22:08,2023-04-13 17:22:08,4602.0,193.0,8775.0,189.0,5753.0,999.0,4152.0,19471.0,2023-04-07 12:03:47,2.3.3,,713391.0,100.0,A Vue.js 3 UI Library made by Element team.,46730.0,46730.0,475.0,44,True,1,element-plus,https://www.npmjs.com/package/element-plus,713391.0,1.0,
2,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-04-12 21:03:37,2023-04-05 18:01:58,1437.0,41.0,9966.0,1202.0,1346.0,366.0,3795.0,99697.0,2023-04-05 18:02:59,1.3.5,,,58.0,Promise based HTTP client for the browser and node.js.,8931234.0,8931234.0,437.0,42,True,1,,,,-1.0,
3,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-03-17 07:26:30,2023-03-09 01:26:52,1209.0,1.0,9438.0,776.0,957.0,85.0,1164.0,27998.0,2021-06-17 15:52:07,4.0.2,,7103430.0,51.0,Centralized State Management for Vue.js.,1154620.0,1154620.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7103430.0,,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-04-13 15:06:28,2023-04-13 07:55:57,12887.0,168.0,3077.0,469.0,4382.0,384.0,6811.0,23257.0,2023-04-03 08:27:01,quasar-v2.11.10,,473127.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,33664.0,33664.0,648.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,473127.0,-1.0,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-04-13 14:48:39,2023-04-03 12:56:32,5234.0,56.0,1075.0,185.0,1643.0,116.0,1046.0,23527.0,2023-03-23 14:16:03,xstate@4.37.1,,5565081.0,100.0,State machines and statecharts for the modern web.,203779.0,203779.0,327.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5565081.0,,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-04-13 17:23:38,2023-04-12 14:20:44,3318.0,120.0,1634.0,471.0,3312.0,402.0,2071.0,62211.0,2023-04-10 13:41:07,cli.rs-v2.0.0-alpha.7,489132.0,71028.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",12477.0,12477.0,248.0,40,True,1,tauri,https://www.npmjs.com/package/tauri,1152.0,,
7,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-03-23 12:19:11,2023-01-08 16:38:27,5371.0,,1834.0,301.0,3665.0,148.0,3201.0,14267.0,2022-04-17 12:49:53,2.22.0,,1456246.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,156875.0,156875.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1456246.0,,
8,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-04-13 16:52:21,2023-04-12 21:43:56,11580.0,205.0,2491.0,298.0,5614.0,506.0,4179.0,18625.0,2023-04-12 21:45:25,3.7.12,,,32.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",165418.0,165418.0,816.0,39,True,1,,,,,
9,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-04-13 08:17:48,2023-04-13 08:17:47,1642.0,84.0,761.0,47.0,720.0,26.0,507.0,10265.0,2023-04-07 14:01:20,pinia@2.0.34,,2451589.0,88.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",86074.0,86074.0,168.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,2451589.0,,
