,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-05-15 17:29:58,2023-05-15 17:29:57,5159.0,110.0,3415.0,594.0,2209.0,9.0,2842.0,68461.0,2023-04-25 22:21:44,3.3.2,1083443.0,34949.0,100.0,A utility-first CSS framework for rapid UI development.,4805818.0,4805818.0,265.0,44,True,1,,,,,
1,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-05-18 14:36:23,2023-05-18 14:36:02,13082.0,301.0,3114.0,474.0,4412.0,380.0,6852.0,23529.0,2023-05-18 14:33:55,@quasar/cli-v2.2.1,,496800.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,35200.0,35200.0,657.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,496800.0,,
2,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-05-18 16:44:11,2023-05-18 01:12:17,4650.0,182.0,9266.0,193.0,5872.0,1037.0,4233.0,19912.0,2023-04-23 12:54:25,2.3.4,,725768.0,100.0,A Vue.js 3 UI Library made by Element team.,50810.0,50810.0,489.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,725768.0,-1.0,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-05-17 10:13:31,2023-04-27 23:04:53,1450.0,21.0,10008.0,1198.0,1364.0,386.0,3813.0,100187.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,9303254.0,9303254.0,439.0,42,True,1,,,,,
4,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-05-09 06:10:08,2023-03-09 01:26:52,1209.0,1.0,9444.0,772.0,961.0,87.0,1164.0,28033.0,2021-06-17 15:52:07,4.0.2,,7344500.0,51.0,Centralized State Management for Vue.js.,1174386.0,1174386.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7344500.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-05-18 15:20:32,2023-05-18 15:17:50,5243.0,29.0,1080.0,185.0,1692.0,98.0,1074.0,23823.0,2023-04-26 16:46:52,xstate@4.37.2,,5998068.0,100.0,State machines and statecharts for the modern web.,211123.0,211123.0,327.0,40,True,1,xstate,https://www.npmjs.com/package/xstate,5998068.0,-1.0,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-05-07 18:48:20,2023-01-08 16:38:27,5371.0,,1834.0,301.0,3666.0,149.0,3202.0,14302.0,2022-04-17 12:49:53,2.22.0,,1537210.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,159608.0,159608.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1537210.0,,
7,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-05-18 17:31:18,2023-05-18 13:11:50,3367.0,103.0,1689.0,471.0,3439.0,432.0,2165.0,63565.0,2023-05-18 12:43:32,cli.rs-v2.0.0-alpha.9,80870.0,17839.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",13853.0,13853.0,261.0,39,True,1,tauri,https://www.npmjs.com/package/tauri,1665.0,-1.0,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-05-18 04:43:24,2023-05-15 17:12:48,1732.0,11.0,3855.0,603.0,1124.0,190.0,2273.0,47151.0,2022-05-08 13:50:59,0.9.4,700993.0,10462.0,17.0,Modern CSS framework based on Flexbox.,225938.0,225938.0,400.0,39,True,3,,,,1.0,
9,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-05-18 15:30:57,2023-05-18 14:53:21,4660.0,45.0,3470.0,303.0,1448.0,143.0,4809.0,18139.0,2023-05-08 08:16:27,4.0.0-beta.3,,378979.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,43579.0,43579.0,237.0,39,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,378979.0,1.0,
