,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,new_addition,trending,updated_github_id
24,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2023-01-27 19:57:40,2023-01-27 19:57:39,266.0,14.0,266.0,32.0,208.0,142.0,93.0,5093.0,2022-08-27 13:47:06,5.0.0,,,27.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,164863.0,164863.0,76.0,29,True,3,,,,,,jasonkuhrt/graphql-request
25,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2023-01-27 19:49:45,2023-01-27 16:24:04,525.0,53.0,742.0,166.0,470.0,10.0,782.0,18744.0,2023-01-27 16:26:44,@headlessui/react@v1.7.8,,,69.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",682.0,682.0,41.0,28,True,1,,,,,,
26,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2023-01-21 01:53:43,2023-01-19 23:32:31,1360.0,69.0,139.0,15.0,244.0,30.0,203.0,910.0,2022-12-22 09:31:15,0.5.10,,8612.0,28.0,Oruga is a lightweight library of UI components without CSS framework dependency.,100.0,100.0,60.0,28,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,8612.0,,1.0,
27,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,152.0,33.0,271.0,106.0,144.0,938.0,2020-06-03 22:45:05,0.11.0,,8110.0,29.0,Semantic UI integration for Vue.,1731.0,1731.0,71.0,27,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,8110.0,,,
28,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2023-01-18 00:30:24,2022-10-05 14:30:15,926.0,,466.0,111.0,436.0,237.0,624.0,5779.0,2021-11-18 13:28:20,3.1.0,,,77.0,Apollo/GraphQL integration for VueJS.,68.0,68.0,123.0,23,True,1,,,,,,
29,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2023-01-27 22:02:43,2023-01-10 10:59:57,713.0,24.0,81.0,101.0,789.0,2.0,208.0,1801.0,2023-01-10 11:00:12,fastify-ssr@4.1.0,,,100.0,Minimal hooks-first GraphQL client.,923.0,923.0,77.0,23,True,3,,,,,,
30,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2023-01-26 12:54:34,2023-01-26 12:52:19,370.0,23.0,117.0,17.0,43.0,2.0,186.0,544.0,2023-01-26 12:54:34,4.6.1,,,79.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,2732.0,2732.0,6.0,23,True,3,,,,,,
31,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,167.0,37.0,257.0,126.0,413.0,2373.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,,,64.0,21,True,2,,,,,,
32,Equal UI,quatrochan/Equal,"['vue3', 'typescript']",ui-frameworks,https://github.com/Equal-UI/Equal,https://github.com/Equal-UI/Equal,MIT,2019-10-15 14:40:47,2023-01-25 16:31:24,2023-01-25 16:23:13,146.0,51.0,56.0,16.0,205.0,1.0,63.0,888.0,,,,1297.0,,Equal UI is a Vue 3 UI library empowered by Tailwindcss.,142.0,142.0,10.0,20,True,3,equal-vue,https://www.npmjs.com/package/equal-vue,1297.0,,,Equal-UI/Equal
33,villus,logaretm/villus,"['vue2', 'vue3']",graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2022-12-30 12:41:29,2022-12-30 12:40:47,571.0,14.0,27.0,9.0,66.0,9.0,112.0,645.0,2022-12-30 18:34:12,2.1.0,,,59.0,A tiny and fast GraphQL client for Vue.js.,144.0,144.0,19.0,20,True,3,,,,,,
34,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,"['vue3', 'bootstrap5', 'coreui']",admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,,2017-08-15 09:29:16,2023-01-24 13:28:08,2022-11-25 13:52:55,434.0,5.0,886.0,123.0,80.0,,193.0,3115.0,2022-11-25 13:55:14,4.2.0,,,59.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,18,True,1,,,,,,
35,vuex-orm-next,vuex-orm/vuex-orm-next,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm-next,https://github.com/vuex-orm/vuex-orm-next,MIT,2020-04-10 03:54:39,2022-12-12 10:45:21,2021-12-03 07:26:44,214.0,,13.0,11.0,100.0,12.0,20.0,187.0,2021-11-19 00:31:46,1.0.0-draft.16,,,17.0,The next iteration of Vuex ORM.,910.0,910.0,9.0,18,True,2,,,,,,
