,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2024-05-30 17:56:18,2024-05-30 08:08:12,28190,170.0,14680.0,2859,21868.0,853.0,18812.0,112285.0,2024-05-29 23:13:36,29.4.2,6058379.0,4300720.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",348704.0,348704.0,1459.0,https://www.npmjs.com/package/electron,2786126.0,51,True,1,45.0,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-05-29 15:32:48,2024-05-25 12:43:59,5351,120.0,3935.0,610,2626.0,34.0,3235.0,79206.0,2024-03-27 19:46:36,3.4.3,3194248.0,76053.0,100.0,A utility-first CSS framework for rapid UI development.,9579747.0,9579747.0,285.0,,,46,True,1,,['css'],
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-05-30 10:47:19,2024-05-30 10:47:18,5296,163.0,14378.0,201,6981.0,1350.0,5135.0,23433.0,2024-05-13 11:34:15,2.7.3,,1015549.0,100.0,A Vue.js 3 UI Library made by Element team.,87123.0,87123.0,614.0,https://www.npmjs.com/package/element-plus,1015549.0,44,True,1,,"['vue3', 'typescript']",
3,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-05-01 19:02:02,2023-08-08 11:38:57,1210,,9479.0,765,974.0,95.0,1165.0,28376.0,2021-06-17 15:52:07,4.0.2,,6373411.0,51.0,Centralized State Management for Vue.js.,1292723.0,1292723.0,335.0,https://www.npmjs.com/package/vuex,6373411.0,43,True,1,,['vue3'],
4,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-05-30 17:15:41,2024-05-30 17:14:06,6630,46.0,1210.0,188,2224.0,72.0,1236.0,26324.0,2024-05-30 17:15:31,@xstate/store@0.0.5,,6764195.0,100.0,Actor-based state management & orchestration for complex app logic.,260483.0,260483.0,357.0,https://www.npmjs.com/package/xstate,6764195.0,43,True,1,,[],
5,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-05-30 08:27:05,2024-05-30 08:27:05,14230,485.0,3408.0,471,4615.0,480.0,7199.0,25364.0,2024-05-14 09:24:48,quasar-v2.16.4,,526278.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,48273.0,48273.0,719.0,https://www.npmjs.com/package/quasar,526278.0,43,True,1,,"['vue3', 'javascript']",
6,vue-router,vuejs/vue-router,vue-router,routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-05-14 12:08:44,2024-05-14 12:08:44,1461,4.0,5014.0,512,974.0,64.0,2779.0,19014.0,2022-09-06 10:10:34,3.6.5,,11576668.0,90.0,The official router for Vue 2.,2268219.0,2268219.0,291.0,https://www.npmjs.com/package/vue-router,11576668.0,43,True,1,,['vue2'],
7,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-05-30 15:59:11,2024-05-21 16:57:14,1540,24.0,10564.0,1202,1623.0,566.0,4003.0,104288.0,2024-05-21 16:57:59,1.7.2,,,79.0,Promise based HTTP client for the browser and node.js.,13077583.0,13077583.0,458.0,,,42,True,1,,"['vue2', 'vue3']",
8,Bulma,jgthms/bulma,,css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-05-29 17:17:02,2024-05-29 17:17:01,1815,47.0,3881.0,591,1168.0,266.0,2337.0,48706.0,2024-05-20 16:40:40,1.0.1,795184.0,10065.0,19.0,Modern CSS framework based on Flexbox.,249167.0,249167.0,416.0,,,41,True,3,,['css'],
9,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-05-30 15:37:31,2024-05-27 08:31:04,9205,223.0,1026.0,77,1221.0,422.0,4115.0,8055.0,2024-05-30 11:50:47,4.0.0-beta.4,,886130.0,100.0,Next Generation Vue UI Component Library.,22669.0,22669.0,260.0,https://www.npmjs.com/package/primevue,886130.0,41,True,2,,"['vue3', 'typescript']",
10,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-05-30 17:03:31,2024-05-26 09:17:48,2356,30.0,1124.0,57,1175.0,27.0,836.0,3679.0,2024-04-18 10:00:52,4.3.2,,2571226.0,60.0,The official router for Vue.js.,2268219.0,2268219.0,229.0,https://www.npmjs.com/package/router,2571226.0,41,True,3,,['vue3'],
11,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,bootstrap-vue,ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-04-29 13:27:09,2023-07-28 00:24:13,5376,,1850.0,291,3676.0,164.0,3228.0,14468.0,2022-04-17 12:49:53,2.22.0,,1360343.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,176432.0,176432.0,356.0,https://www.npmjs.com/package/bootstrap-vue,1360343.0,40,True,2,,"['vue2', 'javascript']",
12,Tauri,tauri-apps/tauri,tauri,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-05-30 18:02:16,2024-05-29 20:02:21,4614,219.0,2306.0,491,4459.0,788.0,3192.0,78457.0,2024-05-29 20:25:31,tauri-cli-v2.0.0-beta.20,91383.0,93259.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",623.0,623.0,365.0,https://www.npmjs.com/package/tauri,1876.0,39,True,3,,,
13,pinia,vuejs/pinia,pinia,state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-05-29 07:06:30,2024-05-29 07:06:25,1930,61.0,967.0,68,838.0,26.0,654.0,12485.0,2023-10-13 09:39:45,pinia@2.1.7,,4724227.0,99.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",237862.0,237862.0,232.0,https://www.npmjs.com/package/pinia,4724227.0,39,True,2,,['vue3'],
14,Ant Design Vue,vueComponent/ant-design-vue,ant-design-vue,ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-05-30 10:02:11,2024-05-09 13:21:20,5230,41.0,3673.0,301,1775.0,200.0,5383.0,19729.0,2024-04-25 01:44:59,4.2.1,,432588.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,54587.0,54587.0,279.0,https://www.npmjs.com/package/ant-design-vue,432588.0,38,True,2,-1.0,['vue3'],
15,Appolo Client,apollographql/apollo-client,,graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-05-29 15:08:40,2024-05-21 09:33:34,12423,129.0,2597.0,287,6329.0,481.0,4573.0,19249.0,2024-05-15 01:03:34,3.10.4,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",182756.0,182756.0,879.0,,,38,True,1,,"['vue2', 'vue3']",
16,Naive UI,tusen-ai/naive-ui,naive-ui,ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-05-30 09:25:58,2024-05-08 08:00:52,8658,57.0,1591.0,90,2923.0,333.0,2490.0,15374.0,,,,145310.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,29617.0,29617.0,302.0,https://www.npmjs.com/package/naive-ui,145310.0,38,True,2,,"['vue3', 'typescript']",
17,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-05-29 22:49:25,2024-05-29 22:49:19,4750,24.0,1226.0,117,900.0,59.0,3289.0,10598.0,2024-05-06 01:41:29,4.12.7,,,100.0,Painless Vue forms.,80687.0,80687.0,374.0,,,35,True,1,,,
18,URQL,urql-graphql/urql,,graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-05-30 10:54:01,2024-05-29 10:45:12,2681,49.0,440.0,90,1480.0,20.0,918.0,8510.0,2024-05-10 10:14:17,@urql/vue@1.2.0,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,418032.0,418032.0,250.0,,,34,True,2,,"['vue2', 'vue3']",
19,Vuestic UI,epicmaxco/vuestic-ui,vuestic-ui,ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-05-30 16:25:35,2024-05-25 06:30:33,3523,110.0,320.0,33,1710.0,448.0,1989.0,3328.0,2024-05-06 18:46:00,1.9.10,,23181.0,55.0,Free and Open Source UI Library for Vue 3.,1474.0,1474.0,125.0,https://www.npmjs.com/package/vuestic-ui,23181.0,34,True,3,,"['vue3', 'typescript']",
20,Amplify UI,aws-amplify/amplify-ui,@aws-amplify/ui-vue,ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-05-30 17:43:33,2024-05-21 21:13:24,2984,113.0,248.0,58,4009.0,150.0,938.0,777.0,2024-05-21 21:24:33,@aws-amplify/ui-react@6.1.12,,95145.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",50766.0,50766.0,119.0,https://www.npmjs.com/package/@aws-amplify/ui-vue,95145.0,34,True,3,,['vue3'],
