,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-10-26 17:36:49,2023-10-26 17:09:38,5322.0,95.0,3654.0,598.0,2371.0,5.0,3022.0,73086.0,2023-10-25 13:49:48,3.3.5,1846655.0,52761.0,100.0,A utility-first CSS framework for rapid UI development.,6756425.0,6756425.0,278.0,44,True,1,,,,,
1,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-10-26 15:57:05,2023-10-26 14:48:01,6352.0,134.0,1129.0,189.0,1945.0,81.0,1141.0,24961.0,2023-10-23 19:31:14,xstate@4.38.3,,5794807.0,100.0,State machines and statecharts for the modern web.,234841.0,234841.0,342.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,5794807.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-10-26 18:01:06,2023-10-26 18:00:59,13495.0,270.0,3269.0,471.0,4514.0,414.0,7010.0,24450.0,2023-10-26 16:11:22,@quasar/vite-plugin-v1.6.0,,509738.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,41002.0,41002.0,686.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,509738.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-10-26 11:08:53,2023-10-25 12:33:07,4905.0,156.0,11429.0,193.0,6326.0,1188.0,4623.0,21631.0,2023-10-18 04:58:36,2.4.1,,702522.0,100.0,A Vue.js 3 UI Library made by Element team.,66807.0,66807.0,545.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,702522.0,,
4,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-10-20 12:45:09,2023-07-20 08:13:55,1453.0,,5042.0,513.0,961.0,65.0,2771.0,19007.0,2022-09-06 10:10:34,3.6.5,,11268219.0,90.0,The official router for Vue 2.,2051498.0,2051498.0,290.0,43,True,1,vue-router,https://www.npmjs.com/package/vue-router,11268219.0,,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-10-26 08:18:06,2023-10-22 15:20:44,1472.0,22.0,10401.0,1205.0,1471.0,424.0,3933.0,102337.0,2023-09-26 18:22:08,1.5.1,,,62.0,Promise based HTTP client for the browser and node.js.,10882998.0,10882998.0,446.0,42,True,1,,,,,
6,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-09-05 11:29:07,2023-08-08 11:38:57,1210.0,1.0,9450.0,770.0,967.0,91.0,1166.0,28261.0,2021-06-17 15:52:07,4.0.2,,6786464.0,51.0,Centralized State Management for Vue.js.,1234446.0,1234446.0,335.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6786464.0,,
7,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-10-16 07:27:08,2023-07-28 00:24:13,5376.0,,1846.0,294.0,3672.0,157.0,3215.0,14400.0,2022-04-17 12:49:53,2.22.0,,1452707.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,168150.0,168150.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1452707.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-10-26 15:07:34,2023-10-26 15:07:30,1810.0,78.0,869.0,59.0,789.0,23.0,604.0,11466.0,2023-10-13 09:39:45,pinia@2.1.7,,3484796.0,98.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",159578.0,159578.0,204.0,40,True,2,pinia,https://www.npmjs.com/package/pinia,3484796.0,,
9,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-10-26 17:53:50,2023-10-26 17:53:45,7903.0,1076.0,832.0,60.0,1018.0,495.0,3153.0,4851.0,2023-10-26 10:54:29,3.38.1,,529946.0,100.0,Next Generation Vue UI Component Library.,14946.0,14946.0,192.0,40,True,2,primevue,https://www.npmjs.com/package/primevue,529946.0,,
10,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-10-23 20:25:56,2023-10-23 20:25:48,2252.0,28.0,1026.0,52.0,1087.0,29.0,761.0,3318.0,2023-09-22 09:25:19,4.2.5,,2503239.0,57.0,The official router for Vue.js.,2051498.0,2051498.0,198.0,40,True,3,router,https://www.npmjs.com/package/router,2503239.0,,
11,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-10-26 08:30:35,2023-10-23 02:51:46,5130.0,112.0,3567.0,306.0,1624.0,156.0,5058.0,18851.0,2023-10-17 15:07:07,4.0.6,,376643.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,48476.0,48476.0,256.0,39,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,376643.0,,
12,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-10-26 17:21:24,2023-10-26 16:58:56,4082.0,181.0,1936.0,484.0,3851.0,563.0,2561.0,69571.0,2023-10-24 00:52:27,tauri-cli-v1.5.6,333251.0,84592.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",525.0,525.0,307.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,1280.0,,
13,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-10-24 18:58:28,2023-10-22 07:28:01,1744.0,5.0,3864.0,601.0,1138.0,210.0,2283.0,47612.0,2022-05-08 13:50:59,0.9.4,735533.0,10215.0,17.0,Modern CSS framework based on Flexbox.,237530.0,237530.0,402.0,38,True,3,,,,,
14,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-10-26 15:34:52,2023-10-24 20:33:15,12041.0,131.0,2555.0,292.0,5985.0,466.0,4378.0,18982.0,2023-10-16 15:46:40,3.8.6,,,74.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",175681.0,175681.0,848.0,38,True,1,,,,,
15,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-10-23 14:50:27,2023-10-02 14:38:17,8275.0,13.0,1488.0,88.0,2676.0,586.0,1863.0,13928.0,,,,129384.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,23940.0,23940.0,262.0,37,True,3,naive-ui,https://www.npmjs.com/package/naive-ui,129384.0,,
